ā wèi	阿魏
nǐ jì yíng	擬寄蠅
nǐ jí yù	擬棘芋
nǐ jí yú	擬棘魚
ní jiá dié	泥蛺蝶
nǐ jiá dié	擬蛺蝶
nǐ jiǎ nián	擬甲鯰
nǐ jiàn shí	擬箭石
nǐ jiǎo chán	擬角蟾
nǐ jiǎo kuí	擬角蝰
nǐ jiǎo shā	擬角鯊
nǐ jié táng	擬睫螳
nǐ jié táng	擬劫螳
nǐ jīn máo	擬金茅
nǐ jǐn wèi	擬錦䲁
nǐ jiǔ jié	擬九節
nǐ juǎn jī	擬卷𧐐
nǐ juàn xiǎn	擬絹蘚
nǐ kē zhà	擬科蚱
nǐ kǒng fēng	擬孔蜂
nǐ kòu jiǎ	擬叩甲
nǐ kǒu luó	擬口螺
nǐ kǒu mó	擬口蘑
nǐ kù zhōng	擬庫螽
nǐ kuī yú	擬盔魚
nǐ kūn bù	擬昆布
nǐ là jú	擬蠟菊
nǐ là sǎn	擬蠟傘
nǐ lán yíng	擬藍蠅
nǐ lì yú	擬麗魚
nǐ liáng niǎo	擬椋鳥
nǐ liè chūn	擬獵蝽
nǐ lín shǔ	擬林鼠
ní lín tái	尼鱗苔
nǐ lín tún	擬鱗魨
nǐ lín yóu	擬鱗鮋
ní luó há	尼羅蛤
nǐ luǒ huáng	擬裸蝗
ní luó táng	尼羅螳
ní luó yú	尼羅魚
nǐ mán lí	擬鰻鱺
nǐ máng chūn	擬盲蝽
nǐ máng xiè	擬盲蟹
nǐ mào bèi	擬帽貝
nǐ máo lán	擬毛蘭
nì máo xiǎn	逆毛蘚
nǐ měi xiā	擬美蝦
ní měng yú	泥鯭魚
nǐ mián xiè	擬綿蟹
nǐ mù zéi	擬木賊
nǐ nán jiè	擬南芥
nǐ niǎo lóng	擬鳥龍
nǐ piáo há	擬瓢蛤
nǐ píng qiū	擬平鰍
nǐ píng xiǎn	擬平蘚
ní qī chún	泥棲鯙
nǐ qī gū	擬漆姑
nǐ qí zhà	擬奇蚱
nǐ qián má	擬蕁麻
nǐ qiāo jiǎ	擬鍬甲
nǐ qīng méi	擬青黴
nǐ qīng xiǎn	擬青蘚
ní qiu yú	泥鰍魚
nǐ què diāo	擬雀鯛
nǐ què yīng	擬雀鶯
nǐ rèn bāo	擬葚孢
nǐ róng luó	擬蠑螺
nǐ ruò tǎ	擬箬鰨
nǐ sài zhū	擬賽蛛
nǐ shā dīng	擬沙丁
nǐ shān qióng	擬山蛩
nǐ shàn xiè	擬扇蟹
nǐ shān zhōng	擬杉螽
nǐ shǎn zhū	擬閃蛛
nǐ shé qīng	擬蛇鯖
nǐ shéng xī	擬繩蜥
nǐ shí huā	擬石花
nǐ shí lú	擬石鱸
nǐ shí xiè	擬石蟹
ní shì yǐ	尼氏蟻
nǐ shǒu guā	擬守瓜
nǐ shù xī	擬樹蜥
nǐ shuān jūn	擬栓菌
nǐ shuǐ guī	擬水龜
nǐ sī zǎo	擬絲藻
nǐ sōng diāo	擬松鯛
nǐ sōng luó	擬松螺
nǐ sù xīn	擬素馨
nǐ suō é	擬蓑蛾
nǐ suō yóu	擬蓑鮋
ní tái é	泥苔蛾
nǐ tái zhà	擬臺蚱
nǐ tài zhū	擬態蛛
ní tàn è	泥炭鱷
ní tàn jūn	泥炭菌
ní tán lóng	泥潭龍
ní tàn xiǎn	泥炭蘚
nǐ tè nián	擬特鯰
nǐ tè nián	擬特鮎
nì tī luó	逆梯螺
nǐ tiān niú	擬天牛
nǐ wā è	擬蛙鱷
nǐ wā xiè	擬蛙蟹
nǐ wǎng chūn	擬網蝽
nǐ wǎng ruì	擬網蚋
nǐ wěi bāo	擬尾孢
nǐ wēng yīng	擬鶲鶯
nǐ wǔ jiā	擬五加
nǐ wū zéi	擬烏賊
nǐ xì jì	擬細鯽
nǐ xī méi	擬希鶥
ní xī xiè	泥溪蟹
nǐ xī yà	擬蜥亞
nǐ xì zhū	擬隙蛛
nǐ xiā gū	擬蝦蛄
nǐ xiā hǔ	擬鰕虎
nǐ xiǎn dié	擬蜆蝶
ní xiǎn dié	霓蜆蝶
nǐ xiàn lú	擬線鱸
nì xiān xià	逆先夏
nǐ xiǎo fēi	擬小鯡
nǐ xiǎo fú	擬小蜉
nǐ xiǎo luó	擬小螺
nǐ xiǎo ní	擬小鯢
nǐ xiǎo zéi	擬小鰂
nǐ xiǎo zhì	擬小蛭
ní xiè zhū	泥蟹蛛
nǐ xīn há	擬心蛤
nǐ xīng chóng	擬星蟲
nǐ xīng luó	擬星螺
nǐ xū tún	擬須魨
nǐ yá diāo	擬牙鯛
nǐ yá huò	擬牙䱛
nǐ yān luó	擬煙螺
nǐ yán luó	擬岩螺
nǐ yán xǐ	擬巖鱚
nǐ yáng yú	擬羊魚
nǐ yì yuán	擬異蚖
nǐ yì zǎo	擬翼藻
nǐ yī zǎo	擬伊藻
nǐ yī zhū	擬伊蛛
nǐ yǐn yíng	擬蚓蠅
nǐ yíng hǔ	擬蠅虎
nǐ yīng yú	擬纓魚
nǐ yōng dié	擬庸鰈
nǐ yǒng luó	擬蛹螺
nǐ yóu lú	擬鮋鱸
nǐ yóu mán	擬油鰻
nǐ yóu nián	擬油鯰
nǐ yōu nián	擬幽鯰
nǐ yóu nián	擬油鮎
nǐ yóu xiǎn	擬油蘚
nǐ yù méng	擬鷸虻
nǐ yù xiā	擬玉蝦
nǐ yún xiāng	擬芸香
nǐ zǎo bèi	擬棗貝
nǐ zhǎo luó	擬沼螺
nǐ zhǎo yóu	擬爪魷
nǐ zhé bāo	擬折孢
nǐ zhēn xiǎn	擬真蘚
nǐ zhū huáng	擬蛛蝗
nǐ zhū zǎo	擬珠藻
nǐ zhuī luó	擬錐螺
nǐ zhuī shí	擬錐石
nǐ zhuó mù	擬啄木
nǐ zǐ cài	擬紫菜
nǐ zǐ cǎo	擬紫草
nǐ zī chán	擬髭蟾
nián biān méi	黏鞭黴
nián chǐ jūn	黏齒菌
nián gān zǎo	黏杆藻
nián guān cǎo	黏冠草
nián huá gū	黏滑菇
nián jí chóng	黏棘蟲
nián lè yú	年樂魚
nián liè chūn	黏獵蝽
nián mù ěr	黏木耳
nián qí gū	黏臍菇
nián qiú zǎo	黏球藻
nián ròu gū	黏肉菇
nián xiù ěr	黏鏽耳
nián yè é	黏夜蛾
nián yè yī	黏葉衣
nián yè zǎo	黏葉藻
nián zhě jūn	黏褶菌
nián zhǒu jūn	黏帚菌
niàn zhū jiè	念珠芥
niàn zhū jūn	念珠菌
niàn zhū zǎo	念珠藻
niǎo cháo jūn	鳥巢菌
niǎo cháo lán	鳥巢蘭
niǎo fèn zhū	鳥糞蛛
niǎo fèng dié	鳥鳳蝶
niǎo há yà	鳥蛤亞
niǎo hǎi dǎn	鳥海膽
niǎo huái lóng	鳥踝龍
niǎo jiǎo xià	鳥腳下
niǎo jiǎo yà	鳥腳亞
niǎo shé lán	鳥舌蘭
niǎo tóu jì	鳥頭薺
niǎo tóu lóng	鳥頭龍
niǎo wěi há	鳥尾蛤
niǎo yì dié	鳥翼蝶
niǎo yǔ é	鳥羽蛾
niǎo zǎi lán	鳥仔蘭
niǎo zú lán	鳥足蘭
niè dié yú	鑷蝶魚
niè hé shòu	囓頜獸
niè kǒng xuě	顳孔鱈
niè kǒu yóu	鑷口鮋
niè kǒu yú	鑷口魚
niè lì yú	鑷麗魚
niè wǎ jūn	涅瓦菌
niè wáng lóng	齧王龍
niè yè chán	聶葉蟬
níng huā cài	凝花菜
níng kuài yī	凝塊衣
níng méng shā	檸檬鯊
níng méng yú	檸檬魚
níng tí yù	凝蹄玉
níng yǎn dié	寧眼蝶
níng yuǎn lóng	寧遠龍
niú bèi lù	牛背鷺
niú bí fèn	牛鼻鱝
niú bí shuān	牛鼻栓
niú biān cǎo	牛鞭草
niǔ bǐng huā	扭柄花
niǔ bǐng xiǎn	扭柄蘚
niǔ chǐ shǔ	紐齒鼠
niǔ chuí lóng	扭椎龍
niǔ fǎ luó	扭法螺
niú guǒ téng	牛果藤
niú huá yú	牛滑魚
niǔ huī dié	鈕灰蝶
niǔ huò xiāng	扭藿香
niú jiǎo guā	牛角瓜
niú jiǎo jiè	牛角介
niú jiǎo lán	牛角蘭
niǔ jiǎo líng	扭角羚
niú jiǎo lóng	牛角龍
niú jiǎo xiǎn	牛角蘚
niú jīn guǒ	牛筋果
niú jīn téng	牛筋藤
niú jīn tiáo	牛筋條
niǔ kǒu xiǎn	扭口蘚
niǔ lián qián	扭連錢
niú liáng niǎo	牛椋鳥
niú liè lóng	牛獵龍
niú liè shòu	牛鬣獸
niú máo xiǎn	牛毛蘚
niú mù diāo	牛目鯛
niú nǎi cài	牛奶菜
niú nǎi cài	牛嬭菜
niú pái jūn	牛排菌
niú pí xiāo	牛皮消
niú pí yè	牛皮葉
niú pí yíng	牛皮蠅
niǔ qiào zǎo	扭鞘藻
niǔ qū luó	扭曲螺
niú quán téng	牛拳藤
niǔ sāi zūn	紐鰓樽
niú shé cǎo	牛舌草
niú shé tǎ	牛舌鰨
niú shé xiǎn	牛舌蘚
niǔ shéng téng	扭繩藤
niú shuān téng	牛栓藤
niú shuān téng	牛拴藤
niú tí dòu	牛蹄豆
niú wěi cài	牛尾菜
niú wěi xiǎn	牛尾蘚
niú wěi yú	牛尾魚
niǔ wō niú	扭蝸牛
niú xī jú	牛膝菊
niǔ xiàn zǎo	扭線藻
niú yǎn diāo	牛眼鯛
niú yǎn jú	牛眼菊
niú yǎn wā	牛眼蛙
niǔ yǎn yíng	紐眼蠅
niú yáng yú	牛羊魚
niǔ yè xiǎn	扭葉蘚
niǔ yí bèi	扭貽貝
niú yóu guǒ	牛油果
niú yóu yú	牛油魚
niǔ yuè bèi	扭月貝
niǔ zǐ huā	紐子花
nóng chuāng cǎo	膿瘡草
nóng shén lóng	農神龍
nǔ dì zhū	努蒂蛛
nǔ yè é	努夜蛾
nù zhēng xìng	怒睜杏
nuǎn mián wèi	暖綿䲁
nuò ěr lóng	諾爾龍
nuò lín yà	諾林亞
nuò màn yú	諾曼魚
nuò mǐ tiáo	糯米條
nuò mǐ tuán	糯米糰
nuò mǐ xiāng	糯米香
nuò shì xiǎn	諾氏蘚
nuò tuō è	諾託鱷
nǚ lóu cài	女婁菜
nǚ wáng shé	女王蛇
nüè yuán chóng	瘧原蟲
ōu bái jiè	歐白芥
ōu bái yú	歐白魚
ōu fáng fēng	歐防風
ōu huī dié	鷗灰蝶
ōu lú cí	歐鸕鶿
ōu luó xī	歐羅蜥
ōu má yíng	歐麻蠅
ōu piāo yú	歐飄魚
ōu ruì xiāng	歐瑞香
ōu shí nán	歐石南
ōu shì téng	歐氏鰧
ōu wén chóng	歐文蟲
ōu wén xī	歐文蜥
ǒu xiǎn dié	偶蜆蝶
ōu yǎ yú	歐雅魚
pá guǎn jūn	爬管菌
pá guǎn zǎo	爬管藻
pá huī dié	琶灰蝶
pà huī dié	帕灰蝶
pà lā zǎo	帕拉藻
pà mǐn zhū	帕皿蛛
pá qiáng hǔ	爬牆虎
pà sà yú	帕薩魚
pá shān hǔ	爬山虎
pà xiǎn dié	帕蜆蝶
pà yǎn dié	帕眼蝶
pá yán qiū	爬巖鰍
pái cǎo xiāng	排草香
pāi cháng chūn	拍長蝽
pài dùn mǎn	派盾蟎
pái huī dié	俳灰蝶
pài jī fēng	派姬蜂
pāi jì yíng	拍寄蠅
pái jiá dié	俳蛺蝶
pài kǎ zǎo	派卡藻
pài kè è	派克鱷
pái ké jūn	排殼菌
pài lún mǎn	派倫蟎
pái qián cǎo	排錢草
pái qián shù	排錢樹
pái shuǐ cǎo	排水草
pái xiāng cǎo	排香草
pái xiāo dié	俳綃蝶
pán bí tún	盤鼻魨
pán cháng bāo	盤長孢
pán cháng sāo	盤腸溞
pán cháng zǎo	盤腸蚤
pán chǐ pí	盤齒魮
pán chún cháng	盤脣鱨
pán chún yú	盤脣魚
pān cí lán	攀瓷蘭
pán èr bāo	盤二孢
pán ěr yī	盤耳衣
pán fěn shī	盤粉蝨
pán fù zhū	盤腹蛛
pán gé jūn	盤革菌
pán guǎn chóng	盤管蟲
pán guǒ cǎo	盤果草
pán guǒ jú	盤果菊
pán guǒ mù	盤果木
pān huī dié	潘灰蝶
pán jiá dié	蟠蛺蝶
pán jiāng lóng	盤江龍
pán kǒng jūn	盤孔菌
pán lèi luó	盤肋螺
pán lì yú	盤麗魚
pān lú yú	攀鱸魚
pān má yíng	潘麻蠅
pān nòng dié	潘弄蝶
pān nuò xiè	潘諾蟹
pān pà shòu	潘帕獸
pán què diāo	盤雀鯛
pán shàn bèi	盤扇貝
pán shé chán	盤舌蟾
pān shì luó	攀氏螺
pān shì yú	潘氏魚
pān shù xiè	攀樹蟹
pán shuāng méi	盤霜黴
pán tǒng lì	盤筒蠣
pán xīng zǎo	盤星藻
pán xiōng chóng	盤胸蟲
pán yì fú	盤翼蝠
pān yuán lán	攀緣蘭
pān zhòng yú	潘仲魚
pán zú fú	盤足蝠
pán zú lóng	盤足龍
pàng dà hǎi	胖大海
páng guāng luó	膀胱螺
páng pí yú	旁皮魚
pàng tóu guì	胖頭鱥
pàng tóu yú	胖頭魚
pàng yīng yú	胖嬰魚
pàng zhī lǐ	胖脂鯉
pào bí nián	泡鼻鯰
pào dàn guǒ	炮彈果
pào dàn shù	炮彈樹
pào guǒ jì	泡果薺
pāo guǒ jì	脬果薺
pào guǒ qǐng	泡果苘
pào huā shù	泡花樹
pào lín yī	泡鱗衣
pào lún chóng	泡輪蟲
pào náng cǎo	泡囊草
pào pào shù	泡泡樹
pào qí yī	皰臍衣
pào yǎn dié	泡眼蝶
pào yī jūn	皰衣菌
pào zǎi cǎo	炮仔草
pào zhàng huā	炮仗花
pào zhàng zhú	炮仗竹
pào zhuàng xiè	泡狀蟹
pèi fěn jiè	配粉蚧
pēi gōu zǎo	胚溝藻
pèi huī dié	佩灰蝶
péi lì yíng	陪麗蠅
pèi luó è	佩羅鱷
pén chún yú	盆脣魚
pén huī dié	盆灰蝶
pén jià shù	盆架樹
pén jù lán	盆距蘭
péng bèi wēng	蓬背鶲
péng chuán yù	篷船芋
péng è zhū	膨顎蛛
péng guǒ dòu	膨果豆
péng lái gé	蓬萊葛
péng lái zhú	蓬萊竹
péng máo fú	蓬毛蝠
péng qí jú	蟛蜞菊
péng qí jú	蟚蜞菊
péng shí zǎo	膨石藻
péng tóu liè	蓬頭鴷
pěng xīn lán	捧心蘭
péng yǎn dié	蓬眼蝶
pí bō tún	皮剝魨
pì bù jiǎ	屁步甲
pí cì mǎn	皮刺蟎
pí dāo yú	皮刀魚
pí fū yíng	皮膚蠅
pí guǒ yī	皮果衣
pí guǒ zǎo	皮果藻
pí hǎi mián	皮海綿
pī jǐ luó	披脊螺
pī jiǎn cǎo	披鹼草
pī jiǎn cǎo	披礆草
pī jiān téng	披肩鰧
pí jīn guī	皮金龜
pí kǎ chóng	皮卡蟲
pí ké jūn	皮殼菌
pí kè yú	皮克魚
pí kē zhēn	皮頦鱵
pí kǒng jūn	皮孔菌
pī máo xī	披毛犀
pī máo yà	披毛亞
pí mó mǎn	皮膜蟎
pí nòng dié	琵弄蝶
pí pa chái	琵琶柴
pí pa luó	琵琶螺
pí pá luó	枇杷螺
pí pa nián	琵琶鯰
pí pa xiè	琵琶蟹
pí pa yú	琵琶魚
pí pán jūn	皮盤菌
pí sūn mù	皮孫木
pí tiào jiǎ	皮跳甲
pí yì lóng	皮翼龍
pí zhī lǐ	魮脂鯉
piān bàn huā	偏瓣花
piàn cháng chūn	片長蝽
piàn chǐ é	片尺蛾
piàn chún jū	片脣鮈
piān dǐng há	偏頂蛤
piān gài luó	偏蓋螺
piān kǒu há	偏口蛤
piān kǒu yú	偏口魚
piān nòng dié	翩弄蝶
piàn qiú zǎo	片球藻
piān shuò xiǎn	偏蒴蘚
piān suì cǎo	偏穗草
piān suì jiāng	偏穗姜
piàn yè chán	片葉蟬
piān yè xiǎn	偏葉蘚
piàn yǔ é	片羽蛾
piáo ér cài	瓢兒菜
piāo fú cǎo	飄拂草
piāo fú xiè	漂浮蟹
piáo là chán	瓢蠟蟬
piāo liú zǎo	漂流藻
piāo shuǐ shī	漂水蝨
piāo wěi gé	漂尾格
piāo yè é	飄夜蛾
pín chǐ è	貧齒鱷
pín chǐ lóng	貧齒龍
pín gǔ yú	貧骨魚
pín yè é	貧夜蛾
píng bǎn zǎo	平板藻
píng bāo yù	瓶苞芋
píng bèi wèi	平背䲁
píng bèi zhōng	平背螽
píng bí jīng	瓶鼻鯨
píng biǎn quán	平扁蜷
píng chá zì	平茶漬
píng chǐ xī	平齒蜥
píng chún zhào	平脣鮡
píng cuò há	平銼蛤
píng dāng shù	平當樹
píng dǐng táng	屏頂螳
píng é yú	平額魚
píng é zhū	平額蛛
píng fù zhū	平腹蛛
píng gé jūn	平革菌
píng gēn wā	平跟蛙
píng gōu luó	平溝螺
píng guī chūn	平龜蝽
píng guǒ luó	蘋果螺
píng huá chán	平滑蟾
píng huā jiāng	平花鱂
píng huā mù	瓶花木
píng huī xiǎn	平灰蘚
píng jī fēng	平姬蜂
píng jǐ jiǎ	平脊甲
píng jiá dié	屏蛺蝶
píng jiǎ nián	平甲鯰
píng jiā xiè	平家蟹
píng jiān luó	平肩螺
píng juǎn chóng	平卷蟲
píng kē lú	平頦鱸
píng ké xiè	平殼蟹
píng kǒu jū	平口鮈
píng kǒu yī	瓶口衣
píng kuī mǎn	平盔蟎
píng liè zǎo	平裂藻
píng lín xī	平鱗蜥
píng máng chūn	平盲蝽
píng méi jūn	瓶黴菌
píng miàn zǎo	平面藻
píng náng nián	平囊鯰
píng pán jūn	平盤菌
píng pán jūn	瓶盤菌
píng pán zǎo	平盤藻
píng péng cǎo	萍蓬草
píng qí qiū	平鰭鰍
píng qí wéi	平鰭鮠
píng shuān jūn	平栓菌
píng shuò xiǎn	平蒴蘚
píng tiào zhū	平跳蛛
píng tóu cǎo	瓶頭草
píng tóu jú	瓶頭菊
píng tóu jū	平頭鮈
píng tóu lóng	平頭龍
píng tóu méi	瓶頭梅
píng tóu qiū	平頭鰍
píng tóu xuě	平頭鱈
píng tóu yǐ	平頭蟻
píng tóu yóu	平頭鮋
píng wěi hǔ	平尾虎
píng xiā gū	平蝦蛄
píng xiāo dié	蘋綃蝶
píng xiōng guī	平胸龜
píng xiōng yǐ	平胸蟻
píng xiōng zhū	平胸蛛
píng yǎn luó	平厴螺
píng yàn xī	平咽蜥
píng yóu chóng	平遊蟲
píng zhí zǎo	平直蚤
píng zhóu luó	平軸螺
píng zhū xiǎn	平珠蘚
píng zi cǎo	瓶子草
píng zuò jūn	平座菌
pò bù mù	破布木
pò bù yè	破布葉
pò bù zi	破布子
pò dì yú	珀蒂魚
pō fù yú	潑婦魚
pò huī dié	珀灰蝶
pō là yú	潑辣魚
pó luó lǐ	婆羅鯉
pó luó xī	婆羅蜥
pō má huā	坡麻花
pó po nà	婆婆納
pō pǔ fù	坡普蝮
pò sǎn jú	破傘菊
pò xī zhū	珀希蛛
pō yóu gān	坡油甘
pǔ ān kāng	普鮟鱇
pú bāo huā	蒲包花
pú bāo méi	葡孢黴
pú bǐng méi	匍柄黴
pū chì liè	撲翅鴷
pù dào yǐ	鋪道蟻
pú dēng xiǎn	匍燈蘚
pǔ dù lù	普度鹿
pú ér gēn	蒲兒根
pú fěi lián	匍蜚蠊
pú gōng yīng	蒲公英
pú huī dié	蒲灰蝶
pū huī dié	僕灰蝶
pǔ huī dié	普灰蝶
pǔ huī dié	埔灰蝶
pú jiá dié	璞蛺蝶
pú jīng cǎo	匍莖草
pǔ léi shòu	普雷獸
pǔ lì yú	樸麗魚
pǔ liè chūn	普獵蝽
pǔ shè qú	蹼麝鼩
pǔ shì xiè	普氏蟹
pǔ shì zǎo	普氏藻
pú táo bāo	葡萄孢
pú táo bèi	葡萄貝
pú táo chóng	葡萄蟲
pú táo luó	葡萄螺
pú táo wèng	葡萄甕
pú táo yú	葡萄魚
pú táo zǎo	葡萄藻
pǔ tí yú	普提魚
pǔ tuǐ táng	樸腿螳
pú wǎng xiǎn	匍網蘚
pú xióng jūn	葡雄菌
pǔ yè é	普夜蛾
pǔ yuán zhū	普園蛛
pǔ zú qú	蹼足鼩
qí ǎi yóu	奇矮鮋
qí ān kāng	奇鮟鱇
qī bān jūn	漆斑菌
qī bàn lián	七瓣蓮
qí bān míng	旗斑螟
qí bàng gū	臍棒菇
qí bèi xiè	奇背蟹
qí bǐ jú	歧筆菊
qí chán yú	奇蟾魚
qí chuí xī	齊椎蜥
qí chún lán	旗脣蘭
qí chún lán	奇脣蘭
qí chūn tíng	奇春蜓
qí cì é	岐刺蛾
qí cì é	奇刺蛾
qí cí luó	臍瓷螺
qí dǎo táng	祈禱螳
qǐ é yú	企鵝魚
qī fǎng zhū	七紡蛛
qí fēng jǐn	奇峰錦
qī fèng qiú	棲鳳球
qǐ gài yú	乞丐魚
qí gān jiè	旗竿芥
qí gān jiè	旗杆芥
qí gāng lú	奇肛鱸
qǐ gōu é	綺鉤蛾
qī gū cǎo	漆姑草
qì gǔ yú	氣鼓魚
qí guǒ dòu	鰭果豆
qí guǒ jūn	奇果菌
qǐ hēng bǎi	啓亨百
qí hú jūn	歧壺菌
qí hú nián	奇胡鯰
qí huā jiè	奇花介
qǐ huī dié	綺灰蝶
qí jí yú	奇棘魚
qī jiá dié	漆蛺蝶
qí jiǎ yú	鰭甲魚
qí jiǎn lán	歧繭蘭
qí jiāng lóng	綦江龍
qí jiǎo lù	奇角鹿
qí jiǎo míng	歧角螟
qī jīn gū	七筋姑
qī jīn gū	七筋菇
qí jǐng tiān	臍景天
qí lè jué	齊勒蕨
qí lì yú	奇力魚
qí lì yú	奇麗魚
qí lín cài	麒麟菜
qí lín dòu	麒麟豆
qí lín tún	奇鱗魨
qí lín wěi	麒麟尾
qí lín xiā	麒麟蝦
qí lín yè	麒麟葉
qí lín zhǎng	麒麟掌
qí má yíng	琦麻蠅
qí pán huā	棋盤花
qí pán luó	棋盤螺
qì pào yú	氣泡魚
qì qiāng lóng	氣腔龍
qī qiū è	七丘鱷
qí qiú yá	奇球蚜
qì qiú zǎo	氣球藻
qī rè jūn	棲熱菌
qī sāi mán	七鰓鰻
qí sāi mán	旗鰓鰻
qī sāi shā	七鰓鯊
qí sǎn huā	歧傘花
qí sǎn jú	歧傘菊
qí shān qióng	奇山蛩
qí shé tāi	歧舌苔
qí shé tāi	岐舌苔
qí shì lán	騎士蘭
qí shí lú	奇石鱸
qī shuǐ jūn	棲水菌
qì sī zǎo	氣絲藻
qì suì lán	氣穗蘭
qí tā yú	其他魚
qí táng lǐ	鯕塘鱧
qí táng lǐ	鰭塘鱧
qí tóu mán	齊頭鰻
qí tóu róng	齊頭絨
qí wén há	奇紋蛤
qī xī yú	七夕魚
qī xiǎo dù	榿小蠹
qí xié cǎo	歧纈草
qī xīng yú	七星魚
qí xū lǐ	奇須鯉
qí xū wéi	歧須鮠
qì yè cǎo	槭葉草
qǐ yè é	綺夜蛾
qī yè shù	榿葉樹
qī yè shù	七葉樹
qí yì jūn	奇異菌
qí yì lóng	奇異龍
qí yì lóng	奇翼龍
qí yì niǎo	奇異鳥
qí yuè yú	旗月魚
qí yún zhū	齊雲蛛
qī zhǐ jué	七指蕨
qí zhī lǐ	奇脂鯉
qí zhǐ wēng	鰭指䱵
qí zhōu é	奇舟蛾
qī zǐ huā	七子花
qià è lóng	髂鱷龍
qià lǐ luó	恰裏螺
qián āo luó	前凹螺
qiān bǐ yú	鉛筆魚
qiàn cǎo shù	茜草樹
qiān céng shù	千層樹
qiàn chǐ xiàng	嵌齒象
qián chǐ yú	黔齒魚
qián chuán ké	前船殼
qián chún lán	鉗脣蘭
qián chún mán	前唇鰻
qián dài tái	錢袋苔
qiān fěn dié	遷粉蝶
qián gāng mán	前肛鰻
qián gāng yóu	前肛鮋
qián gōu é	鉗鉤蛾
qián gōu zǎo	前溝藻
qián huì lán	鉗喙蘭
qiān huī shé	鉛灰蛇
qián jǐ bàng	前嵴蚌
qián jiàn shí	前箭石
qián jiāng lóng	黔江龍
qiān jiě cǎo	千解草
qiān jīn bá	千斤拔
qiān jīn téng	千金藤
qiān jīn yú	千金榆
qiān jīn zi	千金子
qián jù tái	黔苣苔
qiān juǎn é	鉛卷蛾
qián kǎi xiā	潛鎧蝦
qiǎn kǒng jūn	淺孔菌
qiān kǒng xī	千孔螅
qián léng xī	前棱蜥
qiān lǐ guāng	千里光
qián liè chūn	鉗獵蝽
qián máo chóng	前毛蟲
qián máo wén	前毛蚊
qiān mǔ cǎo	千母草
qiān nián jiàn	千年健
qiān nián yù	千年芋
qiān niú huā	牽牛花
qiàn nòng dié	嵌弄蝶
qiān nòng dié	鉛弄蝶
qián qí fèn	前鰭鱝
qián qí yóu	前鰭鮋
qiān qū cài	千屈菜
qiān rì hóng	千日紅
qiān sè shé	鉛色蛇
qián shān niǎo	潛山鳥
qián shān shòu	潛山獸
qiàn shǒu lóng	纖手龍
qiān shǒu luó	千手螺
qián shuǐ fēng	潛水蜂
qián shuǐ niǎo	潛水鳥
qián suí mǎn	錢綏蟎
qián tiào jiǎ	潛跳甲
qián xī xiè	黔溪蟹
qiàn xiàn luó	嵌線螺
qiān yè dié	千葉鰈
qián yè é	潛葉蛾
qián yè jiǎ	鉗葉甲
qián yú lóng	黔魚龍
qián yú yà	潛魚亞
qiān zhāng zhǐ	千張紙
qiān zhēn xiàn	千針莧
qiān zhēn yú	千針魚
qián zhī é	潛織蛾
qián zhōu lóng	虔州龍
qián zhuó chūn	前啄蝽
qián zuǐ guàn	鉗嘴鸛
qiáng bà wēng	強霸鶲
qiāng bǐ shí	腔筆石
qiáng chǐ diāo	強齒鯛
qiáng chǐ luó	強齒螺
qiāng chǐ xī	腔齒犀
qiáng cì qiú	強刺球
qiāng dāo cài	槍刀菜
qiāng dāo yào	槍刀藥
qiāng dùn mǎn	蜣盾蟎
qiāng gǔ lóng	腔骨龍
qiāng hǎi dǎn	腔海膽
qiáng hé lóng	強頜龍
qiāng jí yú	腔棘魚
qiāng kuài jūn	腔塊菌
qiáng lèi xiǎn	強肋蘚
qiáng léng xī	強棱蜥
qiáng lín chóng	強鱗蟲
qiáng péng bàng	強膨蚌
qiáng qí yáo	強鰭鰩
qiāng qiú zǎo	腔球藻
qiāng suō luó	槍梭螺
qiāng wū zéi	槍烏賊
qiāng xiàn zǎo	腔腺藻
qiáng zhī diāo	強枝鯛
qiáng zú wā	強足蛙
qiào bāo huā	鞘苞花
qiào bì jué	峭壁蕨
qiào bǐng mù	鞘柄木
qiào cài guǒ	殼菜果
qiào cài há	殼菜蛤
qiào dùn chóng	鞘盾蟲
qiǎo è lóng	巧鱷龍
qiào fù zhū	鞘腹蛛
qiáo gāng lóng	喬岡龍
qiào guān jú	鞘冠菊
qiào hǎi dǎn	鞘海膽
qiào huì chūn	鞘喙蝽
qiào huī dié	俏灰蝶
qiào jì yíng	鞘寄蠅
qiào jiá dié	俏蛺蝶
qiáo lì yú	橋麗魚
qiáo lín chóng	橋鱗蟲
qiào lín há	翹鱗蛤
qiào máo zǎo	鞘毛藻
qiào míng hé	鞘茗荷
qiào ruǐ huā	鞘蕊花
qiáo shì jiāng	喬氏鱂
qiáo shì māo	喬氏貓
qiào sī zǎo	鞘絲藻
qiǎo táng lǐ	巧塘鱧
qiáo wān lóng	橋灣龍
qiáo wān zǎo	橋彎藻
qiāo xíng chóng	鍬形蟲
qiào xiù jūn	鞘鏽菌
qiǎo yán chóng	巧言蟲
qiǎo yè é	巧夜蛾
qiáo yè é	橋夜蛾
qiào zān mù	鞘簪木
qiào zhōu é	峭舟蛾
qiào zuǐ ōu	鞘嘴鷗
qiè bāo zǎo	切孢藻
qiè chǐ diāo	切齒鯛
