ā kā piàn	阿咖片
qīng rè tōng lín piàn	清熱通淋片
qīng rè xiāo zhǒng wán	清熱消腫丸
qīng rè yǎng yīn wán	清熱養陰丸
qīng rè zhǐ ké sàn	清熱止咳散
qīng rè zhì lì wán	清熱治痢丸
qīng rǔ xiāo kē lì	青乳消顆粒
qíng sè jīng sǒng piàn	情色驚悚片
qīng shēn jiǎn féi piàn	輕身減肥片
qīng shēn yǐn kē lì	清身飲顆粒
qīng shǔ yì qì wán	清暑益氣丸
qīng shū yóu ruǎn gāo	清舒油軟膏
qīng téng fēng shī jiǔ	青藤風濕酒
qīng wèi bǎo ān wán	清胃保安丸
qīng wèi hé zhōng wán	清胃和中丸
qīng wèi huáng lián piàn	清胃黃連片
qīng wèi huáng lián wán	清胃黃連丸
qīng wēn jiě dú gāo	清瘟解毒膏
qīng wēn jiě dú piàn	清瘟解毒片
qīng wēn jiě dú wán	清瘟解毒丸
qīng xián kuài gé wán	清涎快膈丸
qīng xīn gǔn tán wán	清心滾痰丸
qīng xīn liáng gé sàn	清心涼膈散
qīng xīn niú huáng piàn	清心牛黃片
qīng xuàn jiàng yā piàn	清眩降壓片
qīng xuān kǒu fú yè	清宣口服液
qīng xuè bā wèi piàn	清血八味片
qīng xuè jiě dú piàn	清血解毒片
qīng xuè nèi xiāo wán	清血內消丸
qīng yàn jiě dú sàn	清咽解毒散
qīng yàn kǒu fú yè	清咽口服液
qīng yàn lì gé wán	清咽利膈丸
qīng yàn liù wèi sàn	清咽六味散
qīng yàn rùn hóu wán	清咽潤喉丸
qīng yàn yì huǒ wán	清咽抑火丸
qīng zhuó qū dú wán	清濁祛毒丸
qiú ǒu sù ruǎn gāo	求偶素軟膏
qiū shuǐ xiān jiǎn piàn	秋水仙鹼片
qǔ ān xī lóng piàn	曲安西龍片
qǔ bǐ nà mǐn piàn	曲吡那敏片
qū bì shū jiān wán	祛痹舒肩丸
qǔ chǐ níng hán piàn	齲齒寧含片
qū chóng xiāo shí piàn	驅蟲消食片
qū dú guàn cháng yè	祛毒灌腸液
qū fēng huà tán wán	祛風化痰丸
qū fēng sū hé wán	驅風蘇合丸
qū fēng xī tòng wán	祛風息痛丸
qū fēng zhǐ tòng piàn	祛風止痛片
qù fǔ shēng jī sàn	去腐生肌散
qù jiǎ pài tì dìng	去甲哌替啶
qǔ kè lú dīng piàn	曲克蘆丁片
qù lǜ qiǎng qín piàn	去氯羥嗪片
qǔ mài zhǐ shù wán	曲麥枳術丸
qǔ měi bù tīng piàn	曲美布汀片
qǔ měi tā qín piàn	曲美他嗪片
qǔ mī xīn rǔ gāo	曲咪新乳膏
qù nán bái yào gāo	去南白藥膏
qǔ ní sī tè piàn	曲尼司特片
qǔ pǐ bù tōng piàn	曲匹布通片
qǔ pǐ dì ěr piàn	曲匹地爾片
qù qiǎng jī gān sàn	去羥肌苷散
qù qīng dǎn suān piàn	去氫膽酸片
qū tā wéi lín piàn	屈他維林片
qū tán píng chuǎn piàn	祛痰平喘片
qū tòng jiàn shēn gāo	祛痛健身膏
qǔ xī pǐ tè piàn	曲昔匹特片
qū yóu kǒu fú yè	祛疣口服液
qū yū zhǐ tòng gāo	祛瘀止痛膏
qǔ zhōng rén bú sàn	曲終人不散
qǔ zhōng rén wèi sàn	曲終人未散
quán dù zhòng jiāo náng	全杜仲膠囊
quán jī bá dú gāo	全雞拔毒膏
quán lù dà bǔ wán	全鹿大補丸
quē nuò yùn tóng piàn	炔諾孕酮片
rè dú píng jiāo náng	熱毒平膠囊
rè dú píng kē lì	熱毒平顆粒
rè lín qīng jiāo náng	熱淋清膠囊
rè lín qīng kē lì	熱淋清顆粒
rè lín qīng táng jiāng	熱淋清糖漿
rè tòng jìng táng wán	熱痛淨糖丸
rè yán níng hé jì	熱炎寧合劑
rè yán níng jiāo náng	熱炎寧膠囊
rè yán níng kē lì	熱炎寧顆粒
rén gōng niú huáng piàn	人工牛黃片
rén shēn bài dú sàn	人參敗毒散
rén shēn bǎo fèi wán	人參保肺丸
rén shēn běi qí piàn	人參北芪片
rén shēn gé jiè sàn	人參蛤蚧散
rén shēn guī pí wán	人參歸脾丸
rén shēn guī pì wán	人參歸睥丸
rén shēn huáng qí sàn	人參黃芪散
rén shēn jiàn pí piàn	人參健脾片
rén shēn lù róng wán	人參鹿茸丸
rén shēn nǚ jīn wán	人參女金丸
rén shēn yǎng róng gāo	人參養榮膏
rén shēn yǎng róng wán	人參養榮丸
rén shēn zhì bǎo wán	人參至寶丸
rěn zhě chá chá wán	忍者茶茶丸
rén zì xíng shí gāo	人字形石膏
rì shài fáng zhì gāo	日曬防治膏
rì shū ān xǐ jì	日舒安洗劑
rì shū ān xǐ yè	日舒安洗液
róng dān kǒu fú yè	蓉丹口服液
róng hé yì zhì jì	融合抑制劑
róng liàn jūn zhì jì	溶鏈菌製劑
róng qǐ cān jiāo náng	蓉杞參膠囊
róng shù kǒu fú yè	茸術口服液
róng xiān kǒu fú yè	蓉仙口服液
róng xiāo de shēng piàn	榕消得生片
róng xuè ān shén wán	茸血安神丸
róng xuè bǔ nǎo yè	茸血補腦液
róng xuè bǔ xīn wán	茸血補心丸
róu gān shùn qì wán	柔肝順氣丸
ròu kòu wǔ wèi wán	肉蔻五味丸
róu suān dàn bái piàn	鞣酸蛋白片
rǔ bì níng kē lì	乳必寧顆粒
rǔ hé nèi xiāo piàn	乳核內消片
rǔ hé nèi xiāo yè	乳核內消液
rǔ hé sàn jié piàn	乳核散結片
rǔ jí líng jiāo náng	乳疾靈膠囊
rǔ jí líng kē lì	乳疾靈顆粒
rǔ kāng kǒu fú yè	乳康口服液
rǔ kāng ruǎn jiāo náng	乳康軟膠囊
rǔ kuài xiāo jiāo náng	乳塊消膠囊
rǔ kuài xiāo jiāo náng	乳快消膠囊
rǔ kuài xiāo kē lì	乳塊消顆粒
rǔ kuài xiāo tiē gāo	乳塊消貼膏
rǔ méi jūn sù piàn	乳酶菌素片
rǔ méi jūn sù sàn	乳酶菌素散
rǔ níng táng yī piàn	乳寧糖衣片
rǔ pǐ qīng jiāo náng	乳癖清膠囊
rǔ pǐ shū jiāo náng	乳癖舒膠囊
rǔ tòng ruǎn jiān piàn	乳痛軟堅片
rǔ xuǎn xiāo jiāo náng	乳癬消膠囊
rú yì dìng chuǎn piàn	如意定喘片
rú yì dìng chuǎn wán	如意定喘丸
rǔ zēng níng jiāo náng	乳增寧膠囊
rǔ zēng yù jiāo náng	乳增愈膠囊
rǔ zhuó yè xíng yè	乳濁液型液
ruǎn jiān kǒu fú yè	軟堅口服液
ruǎn jiāo náng jiāo wán	軟膠囊膠丸
ruǎn shì shàng qīng wán	阮氏上清丸
ruì bā pài tè piàn	瑞巴派特片
ruì gé liè nài piàn	瑞格列奈片
ruì shì rǎn sè yè	瑞氏染色液
rùn cháng níng shén gāo	潤腸寧神膏
rùn fèi huà hé gāo	潤肺化核膏
rùn fèi huà tán wán	潤肺化痰丸
rùn fèi zhǐ sòu wán	潤肺止嗽丸
rùn jī pí fū gāo	潤肌皮膚膏
rùn qīng hù lǐ yè	潤清護理液
rùn shū dī yǎn yè	潤舒滴眼液
rùn yī róng jiāo náng	潤伊容膠囊
sà rè dà péng wán	薩熱大鵬丸
sài gēng dìng ruǎn gāo	賽庚定軟膏
sài jīn huà dú sàn	賽金化毒散
sài kè lì qín piàn	賽克力嗪片
sāi kè xiāo zuò piàn	塞克硝唑片
sāi lì luò ěr piàn	塞利洛爾片
sāi lóng fēng shī jiǔ	塞隆風濕酒
sāi lǜ pǐ dìng piàn	噻氯匹定片
sāi ma gē ěr piàn	噻嗎咯爾片
sāi ma luò ěr piàn	噻嗎洛爾片
sài méi ān rǔ gāo	賽黴安乳膏
sài méi àn rǔ gāo	賽黴胺乳膏
sài měi xīn kē lì	賽美欣顆粒
sāi qǔ sī tè piàn	塞曲司特片
sāi wò zuò tóu bāo	噻肟唑頭孢
sān cái fēng suǐ wán	三才封髓丸
sān cān jiàng zhī yè	三參降脂液
sān céng huí xiāng wán	三層茴香丸
sān céng qié xiāng wán	三層茄香丸
sān fēn sān jìn gāo	三分三浸膏
sàn fēng huó luò wán	散風活絡丸
sàn fēng huó xuè gāo	散風活血膏
sān fú lā qín piàn	三氟拉嗪片
sān fú pài duō piàn	三氟哌多片
sān guī suān měi piàn	三硅酸鎂片
sān guǒ tāng hán piàn	三果湯含片
sān guǒ tāng jiāo náng	三果湯膠囊
sān guǒ tāng kē lì	三果湯顆粒
sān huáng bǎo là wán	三黃寶蠟丸
sān huáng diān dǎo sàn	三黃顛倒散
sān huáng qīng jiě piàn	三黃清解片
sàn jié líng jiāo náng	散結靈膠囊
sàn jié zhǐ tòng gāo	散結止痛膏
sān jīn gǎn mào piàn	三金感冒片
sān qī bǔ xuè wán	三七補血丸
sān qī dān shēn piàn	三七丹參片
sān qī huà zhì wán	三七化痔丸
sān qī huó xuè wán	三七活血丸
sān qī shāng kē piàn	三七傷科片
sān qī shāng kē sàn	三七傷科散
sān qī shāng yào piàn	三七傷藥片
sān qī zhī gān wán	三七脂肝丸
sān qī zhǐ xuè piàn	三七止血片
sān rén kǒu fú yè	三仁口服液
sàn tán níng táng jiāng	散痰寧糖漿
sàn tòng shū jiāo náng	散痛舒膠囊
sān wèi gān jiāng sàn	三味乾薑散
sān wèi gān lù sàn	三味甘露散
sān wèi hóng tāng sàn	三味紅湯散
sān wéi jī chún piàn	三維肌醇片
sān wèi jí lí sàn	三味蒺藜散
sān wèi jí lí sàn	三味蒺黎散
sān wèi qiáng wēi sàn	三味薔薇散
sān wèi zhǐ ké piàn	三味止咳片
sān wù bèi jí wán	三物備急丸
sān xiāng bì yùn piàn	三相避孕片
sàn xuè míng mù wán	散血明目丸
sàn yū míng mù wán	散瘀明目丸
sān yuè yāo tòng piàn	三越腰痛片
sān zhàng qīng gān gāo	三杖清肝膏
sān zhū kǒu fú yè	三株口服液
sān zǐ róng shèn piàn	三子茸腎片
sān zǐ zhǐ ké gāo	三子止咳膏
sāng gé jiàng zhī wán	桑葛降脂丸
sāng gēn bái pí wán	桑根白皮丸
sāng jiāng gǎn mào piàn	桑薑感冒片
sāng jú gǎn chāng piàn	桑菊感昌片
sāng jú gǎn mào sàn	桑菊感冒散
sāng jú gǎn mào wán	桑菊感冒丸
sāng tǎ huǎn shì piàn	桑塔緩釋片
sè cháng zhǐ xiè sàn	澀腸止瀉散
sè zōng zhù shè yè	色腙注射液
shā dīng àn chún piàn	沙丁胺醇片
shā dīng chún wù jì	沙丁醇霧劑
shā léi tài méi piàn	沙雷肽酶片
shā lì dù àn piàn	沙利度胺片
shā yào chán sū wán	痧藥蟾酥丸
shān dōng ē jiāo gāo	山東阿膠膏
shān hǎi dān jiāo náng	山海丹膠囊
shān hǎi dān kē lì	山海丹顆粒
shān hé kǒu fú yè	山荷口服液
shān huā jīng kē lì	山花晶顆粒
shān jú jiàng yā piàn	山菊降壓片
shān là méi yè piàn	山蠟梅葉片
shān làng dàng jiǎn piàn	山莨菪鹼片
shǎn liàng de míng piàn	閃亮的名片
shǎn liàng dī yǎn yè	閃亮滴眼液
shān mài kǒu fú yè	山麥口服液
shān mǔ dān jiāo náng	山牡丹膠囊
shān yào shēn qí wán	山藥參芪丸
shān zhā huà zhì wán	山楂化滯丸
shān zhā jiàng yā wán	山楂降壓丸
shān zhā jiàng zhī piàn	山楂降脂片
shān zhā nèi xiāo wán	山楂內消丸
shān zhuāng jiàng zhī piàn	山莊降脂片
shāng fēng tíng jiāo náng	傷風停膠囊
shàng hǎi shé yào piàn	上海蛇藥片
shāng kē bā lí sàn	傷科八釐散
shāng kē diē dǎ piàn	傷科跌打片
shāng kē diē dǎ wán	傷科跌打丸
shāng kē jiē gǔ piàn	傷科接骨片
shāng kē qī wèi piàn	傷科七味片
shāng kē zhuàng gǔ gāo	傷科壯骨膏
shāng lán diē dǎ wán	傷攔跌打丸
shāng lè qì wù jì	傷樂氣霧劑
shāng shī bǎo zhēn gāo	傷濕寶珍膏
shāng shī jiě tòng gāo	傷濕解痛膏
shāng shī qū tòng gāo	傷濕祛痛膏
shāng shī zhǐ tòng gāo	傷濕止痛膏
shāng tòng níng jiāo náng	傷痛寧膠囊
shāng yì qì wù jì	傷益氣霧劑
shǎo fù qū yū wán	少腹祛瘀丸
shǎo fù zhú yū wán	少腹逐瘀丸
shǎo míng zhēn miào wán	少名針妙丸
shāo shāng fū kāng yè	燒傷膚康液
sháo yào gān cǎo tāng	芍藥甘草湯
shé dǎn bàn xià piàn	蛇膽半夏片
shé dǎn bèi mǔ piàn	蛇膽貝母片
shé dǎn bèi mǔ sàn	蛇膽貝母散
shé dǎn chén pí piàn	蛇膽陳皮片
shé dǎn chén pí sàn	蛇膽陳皮散
shé dǎn chén pí yè	蛇膽陳皮液
shé dǎn chuān bèi sàn	蛇膽川貝散
shé dǎn chuān bèi yè	蛇膽川貝液
shé dǎn nán xīng piàn	蛇膽南星片
shé dǎn nán xīng sàn	蛇膽南星散
shé dǎn zhuī fēng wán	蛇膽追風丸
shè háo jiě tòng gāo	麝蠔解痛膏
shě léi tài méi piàn	舍雷肽酶片
shé lián chuān bèi sàn	蛇連川貝散
shè má kǒu fú yè	射麻口服液
shé míng nán xīng sàn	蛇明南星散
shè qǔ yì zhì jì	攝取抑制劑
shé quǎn huà dú sàn	蛇犬化毒散
shé shāng jiě dú piàn	蛇傷解毒片
shè xiāng bá shī gāo	麝香拔溼膏
shè xiāng bǎo xīn wán	麝香保心丸
shè xiāng cǎo fēn lán	麝香草酚藍
shè xiāng cǎo fēn tài	麝香草酚酞
shè xiāng fēng shī piàn	麝香風濕片
shè xiāng gǒu pí gāo	麝香狗皮膏
shè xiāng hǔ gǔ gāo	麝香虎骨膏
shè xiāng huí yáng gāo	麝香回陽膏
shè xiāng jiě tòng gāo	麝香解痛膏
shè xiāng kàng shuān wán	麝香抗栓丸
shè xiāng nǎo mài kāng	麝香腦脈康
shè xiāng niú huáng wán	麝香牛黃丸
shè xiāng nuǎn qí gāo	麝香暖臍膏
shè xiāng qí yīng wán	麝香奇應丸
shè xiāng sān miào gāo	麝香三妙膏
shè xiāng shū huó jīng	麝香舒活精
shè xiāng shū huó líng	麝香舒活靈
shè xiāng xīn nǎo lè	麝香心腦樂
shè xiāng xīn nǎo tōng	麝香心腦通
shè xiāng xīn tòng gāo	麝香心痛膏
shè xiāng xīn tòng níng	麝香心痛寧
shè xiāng xióng líng wán	麝香熊羚丸
shè xiāng zhèng gǔ dīng	麝香正骨酊
shè xiāng zhèng gǔ shuǐ	麝香正骨水
shè xiāng zhì chuāng shuān	麝香痔瘡栓
shè xiāng zhǐ tòng gāo	麝香止痛膏
shè xiāng zhǐ tòng tiē	麝香止痛貼
shè xiāng zhuàng gǔ gāo	麝香壯骨膏
shè xiāng zhuī fēng gāo	麝香追風膏
shè xióng zhì bǎo wán	麝雄至寶丸
shè zhū míng mù yè	麝珠明目液
shèn ān gàn táng jiāng	腎安乾糖漿
shèn ān zhù shè yè	腎安注射液
shèn bǎo kǒu fú yè	腎寶口服液
shèn fù kāng jiāo náng	腎復康膠囊
shèn fù kāng kē lì	腎復康顆粒
shèn gān níng jiāo náng	腎肝寧膠囊
shēn guì lù róng wán	參桂鹿茸丸
shén jī sì shū wán	神機四樞丸
shēn jīn dān jiāo náng	伸筋丹膠囊
shēn jīn huó luò wán	伸筋活絡丸
shèn kāng kǒu fú yè	腎康口服液
shèn kāng yán jiāo náng	腎康炎膠囊
shèn kāng zhù shè yè	腎康注射液
shén kě xiāo jiāo náng	神渴消膠囊
shén lì kāng jiāo náng	神力康膠囊
shēn líng bái zhú piàn	參苓白朮片
shēn líng bái zhú sàn	參苓白朮散
shēn líng bái zhú wán	參苓白朮丸
shēn líng guī yuán gāo	參苓歸元膏
shēn líng jiàn pí wán	參苓健脾丸
shēn líng jiàn pí wèi	參苓健脾胃
shēn líng kǒu fú yè	參苓口服液
shēn líng yì shèn jiǔ	參苓益腎酒
shèn níng sàn jiāo náng	腎寧散膠囊
shén nóng chá kē lì	神農茶顆粒
shēn qí èr xiān piàn	參芪二仙片
shēn qí fú zhèng wán	參芪扶正丸
shēn qí huā fěn piàn	參芪花粉片
shēn qí jiàng táng piàn	參芪降糖片
shēn qí kǒu fú yè	參芪口服液
shēn qí shān yào gāo	參芪山藥膏
shén qǔ wèi tòng piàn	神曲胃痛片
shēn róng ān shén piàn	參茸安神片
shēn róng bái fēng gāo	參茸白風膏
shēn róng bǔ shèn piàn	參茸補腎片
shēn róng dà bǔ gāo	參茸大補膏
shēn róng fù chūn piàn	參茸復春片
shēn róng gù běn piàn	參茸固本片
shēn róng hēi xī wán	參茸黑錫丸
shēn róng lù tāi wán	參茸鹿胎丸
shēn róng qiáng shèn piàn	參茸強腎片
shēn róng sān biān wán	參茸三鞭丸
shēn róng sān shèn sàn	參茸三腎散
shēn róng wēn shèn wán	參茸溫腎丸
shēn róng yán líng piàn	參茸延齡片
shēn róng zhēn bǎo piàn	參茸珍寶片
shēn róng zhuàng gǔ wán	參茸壯骨丸
shèn shí tōng chōng jì	腎石通沖劑
shèn shí tōng kē lì	腎石通顆粒
shén shuāi guǒ sù piàn	神衰果素片
shén shuāi kāng jiāo náng	神衰康膠囊
shèn shuāi kāng kē lì	腎衰康顆粒
shèn tòu xiāo zēng sàn	滲透消增散
shēn tuǐ dèng yǎn wán	伸腿瞪眼丸
shén xiāng sū hé wán	神香蘇合丸
shén xiào tuō lǐ sàn	神效托里散
shèn xuè níng jiāo náng	腎血寧膠囊
shèn yán ān jiāo náng	腎炎安膠囊
shèn yán ān kē lì	腎炎安顆粒
shèn yán jiě rè piàn	腎炎解熱片
shèn yán kāng fù piàn	腎炎康復片
shèn yán líng jiāo náng	腎炎靈膠囊
shèn yán píng kē lì	腎炎平顆粒
shèn yán qīng jiāo náng	腎炎清膠囊
shèn yán shū jiāo náng	腎炎舒膠囊
shèn yán shū kē lì	腎炎舒顆粒
shèn yán sì wèi piàn	腎炎四味片
shèn yán wēn yáng piàn	腎炎溫陽片
shèn yán xiāo zhǒng piàn	腎炎消腫片
shén zhōu diē dǎ wán	神州跌打丸
shēng bái kǒu fú yè	生白口服液
shēng dá rùn yǎn yè	生達潤眼液
shēng ěr fā táng jiāng	生爾發糖漿
shēng gān dì huáng sàn	生乾地黃散
shēng gān dì huáng wán	生乾地黃丸
shēng guì kǒu fú yè	生桂口服液
shēng huá hóng hēi wán	昇華紅黑丸
shēng jī bā bǎo sàn	生肌八寶散
shēng jī bái yù gāo	生肌白玉膏
shèng jì biē jiǎ wán	聖濟憋甲丸
shèng jì biē jiǎ wán	聖濟鱉甲丸
shēng jī dìng tòng sàn	生肌定痛散
shēng jī gàn nóng sàn	生肌幹膿散
shēng jī yù chuàng gāo	生肌愈創膏
shēng jī yù hóng gāo	生肌玉紅膏
shēng jī yù pí gāo	生肌癒皮膏
shēng jiāng xiè xīn piàn	生薑泄心片
shēng lì kǒu fú yè	升力口服液
shēng rǔ kǒu fú yè	生乳口服液
shēng shú dì huáng wán	生熟地黃丸
shēng wù jiǎn shì jì	生物鹼試劑
shēng xuè bǎo hé jì	生血寶合劑
shēng xuè bǎo kē lì	生血寶顆粒
shēng xuè kāng hé jì	生血康合劑
shēng xuè líng jiāo náng	升血靈膠囊
shēng xuè líng kē lì	升血靈顆粒
shēng zhǎng yì zhì jì	生長抑制劑
shī bǎo lì tōng piàn	施保利通片
shī bì tuō máo gāo	詩碧脫毛膏
shí dī shuǐ jiāo wán	十滴水膠丸
shī dú qīng jiāo náng	濕毒清膠囊
shí èr tài bǎo wán	十二太保丸
shí èr wēn jīng wán	十二溫經丸
shí fù shēng jiāo náng	十復生膠囊
shí gāo xiè bái sàn	石膏瀉白散
shí hú míng mù wán	石斛明目丸
shí hú niú xī tāng	石斛牛膝湯
shí hú yè guāng wán	石斛夜光丸
shí huáng kàng jūn piàn	石黃抗菌片
shí jī kǒu fú yè	食積口服液
shì jūn dí xǐ yè	是菌敵洗液
shí kè ān shèn wán	石刻安腎丸
shī le yí dà piàn	濕了一大片
shí lín tōng chōng jì	石淋通沖劑
shí lín tōng jiāo náng	石淋通膠囊
shí lín tōng kē lì	石淋通顆粒
shí liú jiàn wèi wán	石榴健胃丸
shí liú lián huā sàn	石榴蓮花散
shí liú pǔ ān sàn	石榴普安散
shí liú rì lún wán	石榴日輪丸
shì míng dī yǎn yè	視明滴眼液
shì pín hé xiàng piān	視頻和相片
shí quán dà bǔ gāo	十全大補膏
shí quán dà bǔ piàn	十全大補片
shí quán dà bǔ wán	十全大補丸
shí quán míng mù piàn	十全明目片
shí shān jiǎn jiǎ piàn	石杉鹼甲片
shǐ shī ài qíng piàn	史詩愛情片
shǐ shī zhàn zhēng piàn	史詩戰爭片
shì tiān qīng kē lì	嗜天青顆粒
shí wèi cóng fú sàn	十味叢菔散
shí wèi dòu kòu wán	十味豆蔻丸
shí wèi hē zǐ sàn	十味訶子散
shí wèi hē zǐ wán	十味訶子丸
shí wèi huó xuè wán	十味活血丸
shí wéi qú mài sàn	石韋瞿麥散
shí wèi rǔ xiāng sàn	十味乳香散
shí wèi rǔ xiāng wán	十味乳香丸
shí wèi tiě fěn sàn	十味鐵粉散
shí wèi xiāo shí sàn	十味消食散
shí wèi zhǐ ké piàn	十味止咳片
shí xiāng dìng tòng wán	十香定痛丸
shí xiāng nuǎn qí gāo	十香暖臍膏
shí xiāng ruǎn jīn sàn	十香軟筋散
shí xiāng zhǐ tòng wán	十香止痛丸
shí xìng tán ké piàn	石杏痰咳片
shí yàn shì jīng piàn	實驗室晶片
shī yáng qì wù jì	溼瘍氣霧劑
shí yì jiù jí wán	時疫救急丸
shí yì qīng wēn wán	時疫清瘟丸
shí yù yì zhì jì	食慾抑制劑
shí zhēn xiāng fù wán	十珍香附丸
shí zhēn zhèng róng sàn	時珍正容散
shǒu huì míng xìn piàn	手繪明信片
shǒu míng shān jiāo náng	首明山膠囊
shǒu wū dì huáng wán	首烏地黃丸
shǒu wū qiáng shēn piàn	首烏強身片
shǒu wū yán shòu piàn	首烏延壽片
shū cháng kǒu fú yè	舒腸口服液
shù dǎo hú sūn sàn	樹倒猢猻散
shū ěr jīng jiāo náng	舒爾經膠囊
shū ěr jīng kē lì	舒爾經顆粒
shū ěr yīn xǐ yè	舒爾陰洗液
shū fēng dìng tòng wán	疏風定痛丸
shū fēng dìng tòng wán	舒風定痛丸
shū fēng huó luò piàn	疏風活絡片
shū fēng huó luò wán	疏風活絡丸
shū fēng zài zào wán	疏風再造丸
shū gān ān jiāo náng	舒肝安膠囊
shū gān bǎo kūn wán	舒肝保坤丸
shū gān hé wèi wán	舒肝和胃丸
shū gān jiàn wèi wán	舒肝健胃丸
shū gān kāng jiāo náng	舒肝康膠囊
shū gān kuài wèi wán	舒肝快胃丸
shū gān lǐ pí piàn	疏肝理脾片
shū gān lǐ qì wán	舒肝理氣丸
shū gān míng mù wán	舒肝明目丸
shū gān píng wèi wán	舒肝平胃丸
shū gān shùn qì wán	舒肝順氣丸
shū gān tiáo qì wán	舒肝調氣丸
shū gān xiāo jī wán	舒肝消積丸
shū gān yì pí yè	舒肝益脾液
shū gān zhǐ tòng wán	舒肝止痛丸
shū guān tōng táng jiāng	舒冠通糖漿
shū jīn diē dǎ gāo	舒筋跌打膏
shū jīn dìng tòng piàn	舒筋定痛片
shū jīn fēng shī jiǔ	舒筋風濕酒
shū jīn hǔ pò wán	舒筋琥珀丸
shū jīn huó xuè piàn	舒筋活血片
shū jīn huó xuè wán	舒筋活血丸
shū jǐng kǒu fú yè	舒頸口服液
shū kāng níng xǐ yè	舒康寧洗液
shū lè kāng jiāo náng	舒樂康膠囊
shǔ lǐ bì měi piàn	鼠李鉍鎂片
shū luǎn guǎn tōng yè	輸卵管通液
shū luò yǎng gān wán	舒絡養肝丸
shū mì tōng jiāo náng	舒泌通膠囊
shū nǎo xīn dī wán	舒腦欣滴丸
shū shén líng jiāo náng	舒神靈膠囊
shū xīn jiàng zhī piàn	舒心降脂片
shū yīn jié xǐ jì	舒陰潔洗劑
shū yù jiǔ bǎo wán	舒鬱九寶丸
shǔ yù zào gān piàn	薯蕷皂苷片
shū zhī ruǎn jiāo náng	舒脂軟膠囊
shuāng bèi jīng yàn wán	雙倍經驗丸
shuāng cān lóng jiāo náng	雙參龍膠囊
shuāng dān kǒu fú yè	雙丹口服液
shuāng fēn wěi má piàn	雙分僞麻片
shuāng huáng qū fēng wán	雙黃祛風丸
shuāng huáng xiāo yán piàn	雙黃消炎片
shuāng jiāng wèi tòng wán	雙薑胃痛丸
shuāng jiāo diǎn jìng piàn	雙焦點鏡片
shuāng jǐng qū qín piàn	雙肼屈嗪片
shuāng líng gù běn sàn	雙靈固本散
shuāng mì dá mó piàn	雙嘧達膜片
shuāng mì dá mò piàn	雙嘧達莫片
shuāng mì dìng kē lì	雙嘧啶顆粒
shuāng miàn qǔ pí gāo	雙面取皮膏
shuāng pū kǒu fú yè	雙撲口服液
shuāng pū wěi má piàn	雙撲偽麻片
shuāng qīng kǒu fú yè	雙清口服液
shuāng shuǐ yáng zhǐ piàn	雙水楊酯片
shuāng téng jīn gǔ piàn	雙藤筋骨片
shuāng xiāng dòu sù piàn	雙香豆素片
shuāng zǐ cān xǐ yè	雙子參洗液
shuāng zuò tài ruǎn gāo	雙唑泰軟膏
shuǐ jī zuàn jǐng yè	水基鑽井液
shuǐ lù èr wèi piàn	水陸二味片
shuǐ lù èr wèi wán	水陸二味丸
shuǐ yáng suān chá jì	水楊酸搽劑
shuǐ yáng suān měi piàn	水楊酸鎂片
shuǐ yáng suān nà piàn	水楊酸鈉片
shuǐ yáng suān ruǎn gāo	水楊酸軟膏
shuǐ yáng suān ruǎn gāo	水揚酸軟膏
shuǐ yáng suān tú jì	水楊酸塗劑
shùn qì huà tán piàn	順氣化痰片
sì bái miè bān sàn	四白滅瘢散
sì fāng wèi jiāo náng	四方胃膠囊
sì hǎi shū yù wán	四海舒鬱丸
sì huáng qīng xīn wán	四黃清心丸
sì huáng xiè huǒ piàn	四黃瀉火片
sì jì cài kē lì	四季菜顆粒
sì jì cài táng jiāng	四季菜糖漿
sì jì cǎo kē lì	四季草顆粒
sì jì gǎn mào piàn	四季感冒片
sì jì rùn hóu piàn	四季潤喉片
sì jì sān huáng piàn	四季三黃片
sì jì sān huáng wán	四季三黃丸
sì jūn zǐ hé jì	四君子合劑
sì liǎng bá gān piàn	四兩拔乾片
sì liào kē lì jī	飼料顆粒機
sì miào wán shuǐ wán	四妙丸水丸
sì nì zhù shè yè	四逆注射液
sī pà shā xīng piàn	司帕沙星片
sì sè duàn xián wán	四色斷癇丸
sī tā fū dìng piàn	司他夫定片
sī tǎn zuò chún piàn	司坦唑醇片
sì wèi féi ér wán	四味肥兒丸
sì wéi tā jiāo náng	四維他膠囊
sì wèi xiāng lián wán	四味香連丸
sì wèi yì gōng sàn	四味異功散
sì wèi yú lián wán	四味萸連丸
sì wù bǔ gān sàn	四物補肝散
sì wù kǒu fú yè	四物口服液
sì wù wǔ zǐ wán	四物五子丸
sì wù yì mǔ wán	四物益母丸
sì xiāng qū shī wán	四香祛濕丸
sì xiāo wán shuǐ wán	四消丸水丸
sì yù bǎo tāi wán	嗣育保胎丸
sì zhēng mù guā wán	四蒸木瓜丸
sì zhì bào lóng wán	四制抱龍丸
sì zhì xiāng fù wán	四製香附丸
sōng jié yóu chá jì	松節油搽劑
sōu fēng lǐ fèi wán	搜風理肺丸
sōu fēng shùn qì wán	搜風順氣丸
sū fēi ké táng jiāng	蘇菲咳糖漿
sū gān kǒu fú yè	蘇肝口服液
sù gǎn níng jiāo náng	速感寧膠囊
sū hù jiā xiǎo piàn	蘇滬嘉小片
sū jiā hú xiǎo piàn	蘇嘉湖小片
