ā yóu qiān	錒鈾鉛
jiǎ jī nài jiǎ àn	甲基萘甲胺
jiǎ jī niào mì dìng	甲基尿嘧啶
jiǎ jī niào mì dìng	甲基脲嘧啶
jiǎ jī niǎo piào lìng	甲基鳥嘌呤
jiǎ jī niú huáng suān	甲基牛磺酸
jiǎ jī pài dìng tóng	甲基哌啶酮
jiǎ jī pèi hé wù	甲基配合物
jiǎ jī pí zhì chún	甲基皮質醇
jiǎ jī pú táng àn	甲基葡糖胺
jiǎ jī pú táng gān	甲基葡糖苷
jiǎ jī pú táo táng	甲基葡萄糖
jiǎ jī qī yè chún	甲基七葉醇
jiǎ jī qiǎng bǐ dìng	甲基羥吡啶
jiǎ jī qiǎng jī àn	甲基羥基胺
jiǎ jī qiǎng kuí lín	甲基羥喹啉
jiǎ jī qiǎng nài kūn	甲基羥萘醌
jiǎ jī qiǎng sè àn	甲基羥色胺
jiǎ jī qiǎng yǐ zhǐ	甲基羥乙酯
jiǎ jī qiú jūn mù	甲基球菌目
jiǎ jī quē nuò tóng	甲基炔諾酮
jiǎ jī ròu guì quán	甲基肉桂醛
jiǎ jī ròu guì suān	甲基肉桂酸
jiǎ jī sǎn xíng tóng	甲基繖形酮
jiǎ jī sè ān suān	甲基色氨酸
jiǎ jī shān nài fēn	甲基山柰酚
jiǎ jī shèn suān gài	甲基胂酸鈣
jiǎ jī shèn suān nà	甲基胂酸鈉
jiǎ jī shēng wù sù	甲基生物素
jiǎ jī shí bā suān	甲基十八酸
jiǎ jī shí èr wán	甲基十二烷
jiǎ jī shí sān wán	甲基十三烷
jiǎ jī shí sì suān	甲基十四酸
jiǎ jī shí yī quán	甲基十一醛
jiǎ jī shū dīng běn	甲基叔丁苯
jiǎ jī shǔ lǐ sù	甲基鼠李素
jiǎ jī shuāng bǐng tóng	甲基雙丙酮
jiǎ jī shuǐ yáng quán	甲基水楊醛
jiǎ jī shuǐ yáng suān	甲基水楊酸
jiǎ jī sī ān suān	甲基絲氨酸
jiǎ jī sì dàn zuò	甲基四氮唑
jiǎ jī táng jīng mǐ	甲基糖腈脒
jiǎ jī táo sī sōng	甲基陶斯松
jiǎ jī tì běn àn	甲基替苯胺
jiǎ jī tiān dōng suān	甲基天冬酸
jiǎ jī tuō bù jīn	甲基托布津
jiǎ jī wù èr chún	甲基戊二醇
jiǎ jī wù èr xī	甲基戊二烯
jiǎ jī wù jī tóng	甲基戊基酮
jiǎ jī wù quē chún	甲基戊炔醇
jiǎ jī wù xī suān	甲基戊烯酸
jiǎ jī wū yào jiǎn	甲基烏藥鹼
jiǎ jī wù yǐ suān	甲基芴乙酸
jiǎ jī xī chún tóng	甲基烯醇酮
jiǎ jǐ xī cí fēn	甲己烯雌酚
jiǎ jī xiàn piào lìng	甲基腺嘌呤
jiǎ jī xiān wéi sù	甲基纖維素
jiǎ jī xiāng chéng sù	甲基香橙素
jiǎ jī xiāng dòu sù	甲基香豆素
jiǎ jī xiù bǐ dìng	甲基溴吡啶
jiǎ jī xiù huà biàn	甲基溴化苄
jiǎ jī xiù huà měi	甲基溴化鎂
jiǎ jī xuè qīng sù	甲基血清素
jiǎ jī yán méi sù	甲基鹽黴素
jiǎ jī yān xiān àn	甲基煙酰胺
jiǎ jī yǐ chún àn	甲基乙醇胺
jiǎ jī yì diàn lán	甲基異靛蘭
jiǎ jī yì diàn lán	甲基異靛藍
jiǎ jī yì dīng àn	甲基異丁胺
jiǎ jī yì dīng tóng	甲基異丁酮
jiǎ jī yǐ èr quán	甲基乙二醛
jiǎ jī yǐ jī mí	甲基乙基醚
jiǎ jī yǐ jī tóng	甲基乙基酮
jiǎ jī yǐ jiāo zhǐ	甲基乙交酯
jiǎ jī yì kǎn chún	甲基異莰醇
jiǎ jī yì kuí lín	甲基異喹啉
jiǎ jī yǐ péng wán	甲基乙硼烷
jiǎ jī yì wù tóng	甲基異戊酮
jiǎ jī yǐ xī tóng	甲基乙烯酮
jiǎ jī yǐ xiān àn	甲基乙酰胺
jiǎ jī yǐn duǒ lín	甲基吲哚啉
jiǎ jī yìn mǎn tóng	甲基茚滿酮
jiǎ jī yīng sù jiǎn	甲基罌粟鹼
jiǎ jī yìng zhī suān	甲基硬脂酸
jiǎ jī yù hēng wán	甲基育亨烷
jiǎ jī zhèng wù suān	甲基正戊酸
jiǎ jī zhuǎn yí méi	甲基轉移酶
jiǎ jī zhuǎn yí zhuó	甲基轉移酌
jiǎ jī zǐ shì zhǐ	甲基紫試紙
jiǎ jī zì yóu jī	甲基自由基
jiǎ jī zōng lǘ suān	甲基棕櫚酸
jiǎ jī zǔ ān suān	甲基組氨酸
jiǎ jiān běn èr fēn	甲間苯二酚
jiǎ liú ān jī suān	甲硫氨基酸
jiǎ liú ān suān fēng	甲硫氨酸碸
jiǎ liú ān suān méi	甲硫氨酸酶
jiǎ liú ān suān wéi	甲硫氨酸維
jiǎ liú jī bǐng àn	甲硫基丙胺
jiǎ liú jī bǐng chún	甲硫基丙醇
jiǎ liú jī xiàn gān	甲硫基腺苷
jiǎ liú jī yǐ àn	甲硫基乙胺
jiǎ liú nǎo fēi tài	甲硫腦啡肽
jiǎ liú sāi bǐng ǎn	甲硫噻丙銨
jiǎ liú wù zuò chún	甲硫戊唑醇
jiǎ liú yǎng mì dìng	甲硫氧嘧啶
jiǎ lǜ fēn nà suān	甲氯芬那酸
jiǎ mài jiǎo xīn jiǎn	甲麥角新鹼
jiǎ mí huáng qín sù	甲醚黃芩素
jiǎ mǐ yà huáng suān	甲脒亞磺酸
jiā qīng jìn liào bèng	加氫進料泵
jiǎ quán suō èr chún	甲醛縮二醇
jiǎ quē bǐng biàn àn	甲炔丙苄胺
jiǎ suān běn yǐ zhǐ	甲酸苯乙酯
jiǎ suān bīng piàn zhǐ	甲酸冰片酯
jiǎ suān huán jǐ zhǐ	甲酸環己酯
jiǎ suān ròu guì zhǐ	甲酸肉桂酯
jiǎ suān shū dīng zhǐ	甲酸叔丁酯
jiǎ suān shuǐ jiě méi	甲酸水解酶
jiǎ suān xī bǐng zhǐ	甲酸烯丙酯
jiǎ suān xiāng máo zhǐ	甲酸香茅酯
jiǎ suān xiāng yè zhǐ	甲酸香葉酯
jiǎ suān yá zhí jūn	甲酸芽殖菌
jiǎ suān yì bǐng zhǐ	甲酸異丙酯
jiǎ suān yì dīng zhǐ	甲酸異丁酯
jiǎ suān yǐ suān gān	甲酸乙酸酐
jiǎ suān yì wù zhǐ	甲酸異戊酯
jiǎ suān yǐ xī zhǐ	甲酸乙烯酯
jiǎ suān zhèng bǐng zhǐ	甲酸正丙酯
jiǎ suān zhèng wù zhǐ	甲酸正戊酯
jiǎ suān zhòng dīng zhǐ	甲酸仲丁酯
jiǎ wán èr huáng suān	甲烷二磺酸
jiǎ wán gǎn jūn gāng	甲烷桿菌綱
jiǎ wán gǎn jūn mù	甲烷桿菌目
jiǎ wán huáng suān gān	甲烷磺酸酐
jiǎ wán huáng xiān lǜ	甲烷磺酰氯
jiǎ wán lǜ dài wù	甲烷氯代物
jiǎ wán shuǐ hé wù	甲烷水合物
jiǎ wán wēi jūn gāng	甲烷微菌綱
jiǎ wán wēi jūn mù	甲烷微菌目
jiǎ wán yǎng huà jūn	甲烷氧化菌
jiǎ wán zhèng lí zǐ	甲烷正離子
jiǎ xī dǎn wán chún	甲烯膽烷醇
jiǎ xī qián liè sù	甲烯前列素
jiǎ xī tǔ méi sù	甲烯土黴素
jiǎ xī wēng lí zǐ	甲烯鎓離子
jiǎ xiān jī běn àn	甲酰基苯胺
jiǎ xiān lào ān suān	甲酰酪氨酸
jiā xiāo suān fēn jiě	加硝酸分解
jiǎ xióng xī chún tóng	甲雄烯醇酮
jiǎ yān suān nèi yán	甲煙酸內鹽
jiǎ yǎng ān jī suān	甲氧氨基酸
jiǎ yǎng jī běn àn	甲氧基苯胺
jiǎ yǎng jī běn fēn	甲氧基苯酚
jiǎ yǎng jī běn jī	甲氧基苯基
jiǎ yǎng jī biàn àn	甲氧基苄胺
jiǎ yǎng jī bǐng tóng	甲氧基丙酮
jiǎ yǎng jī bǐng wán	甲氧基丙烷
jiǎ yǎng jī bǐng xī	甲氧基丙烯
jiǎ yǎng jī cí tóng	甲氧基雌酮
jiǎ yǎng jī dīng chún	甲氧基丁醇
jiǎ yǎng jī dīng wán	甲氧基丁烷
jiǎ yǎng jī fū nán	甲氧基呋喃
jiǎ yǎng jī jiǎ chún	甲氧基甲醇
jiǎ yǎng jī jiǎ jī	甲氧基甲基
jiǎ yǎng jī jiǎ wán	甲氧基甲烷
jiǎ yǎng jī sè chún	甲氧基色醇
jiǎ yǎng jī yǐ chún	甲氧基乙醇
jiǎ yǎng jī yǐ suān	甲氧基乙酸
jiǎ yǎng jī yǐ wán	甲氧基乙烷
jiǎ yǎng jī yìn tóng	甲氧基茚酮
jiǎ yǎng jiǎ běn kūn	甲氧甲苯醌
jiǎ yǎng lào ān suān	甲氧酪氨酸
jiǎ yǎng lǜ pǔ àn	甲氧氯普胺
jiǎ yǎng má huáng tóng	甲氧麻黃酮
jiǎ yǎng nài bǐng suān	甲氧萘丙酸
jiǎ yǎng nài suān yán	甲氧萘酸鹽
jiǎ yǎng nài suān zhǐ	甲氧萘酸酯
jiǎ yì bǐng běn àn	甲異丙苯胺
jiǎ yǐ hùn hé chún	甲乙混合醇
jiǎ yì quē nuò tóng	甲異炔諾酮
jiǎ yǐ tóng tuō là	甲乙酮脫蠟
jiā yīn xī hé jīn	鎵銦錫合金
jià zhuàng guī suān yán	架狀硅酸鹽
jiǎ zhuàng xiàn ān suān	甲狀腺氨酸
jiān ān jī běn fēn	間氨基苯酚
jiān ān jī běn jīng	間氨基苯腈
jiān ān jī biàn àn	間氨基苄胺
jiān ān jī lǜ běn	間氨基氯苯
jiān běn èr fēn lán	間苯二酚藍
jiān běn èr fēn liú	間苯二酚硫
jiān běn èr fēn mí	間苯二酚醚
jiān běn èr fēn shī	間苯二酚屍
jiān běn èr fēn zōng	間苯二酚棕
jiān běn èr huáng suān	間苯二磺酸
jiān běn èr jiǎ àn	間苯二甲胺
jiān běn èr jiǎ jīng	間苯二甲腈
jiān běn èr jiǎ mí	間苯二甲醚
jiān běn èr jiǎ quán	間苯二甲醛
jiān běn èr jiǎ suān	間苯二甲酸
jiān běn èr xiān lǜ	間苯二酰氯
jiān běn sān fēn quán	間苯三酚醛
jiān běn sān jiǎ suān	間苯三甲酸
jiǎn chāo jī xìng yán	鹼超基性岩
jiǎn dì pú gōng yīng	鹼地蒲公英
jiān diǎn běn jiǎ mí	間碘苯甲醚
jiān diǎn xiāo jī běn	間碘硝基苯
jiān èr àn jī běn	間二胺基苯
jiān èr qíng jī běn	間二氰基苯
jiān èr xiāo jī běn	間二硝基苯
jiān fú běn jiǎ mí	間氟苯甲醚
jiān fú běn jiǎ quán	間氟苯甲醛
jiān fú běn péng suān	間氟苯硼酸
jiān fú běn yǐ xī	間氟苯乙烯
jiǎn fù hè shì yàn	鹼負荷試驗
jiān huáng biàn jī guā	間磺苄基胍
jiǎn jī lèi sì wù	鹼基類似物
jiān jiǎ běn èr àn	間甲苯二胺
jiān jiǎ běn jī qíng	間甲苯基氰
jiān jiǎ běn jiǎ jīng	間甲苯甲腈
jiān jiǎ běn jiǎ suān	間甲苯甲酸
jiān jiǎ èr běn mí	間甲二苯醚
jiān jiǎ jī běn àn	間甲基苯胺
jiān jiǎ jī lǜ biàn	間甲基氯苄
jiǎn jīn shǔ yuán sù	鹼金屬元素
jiǎn jīn shǔ yuán zǐ	鹼金屬原子
jiǎn liàng dī dìng fǎ	鹼量滴定法
jiān lǜ běn bǐng tóng	間氯苯丙酮
jiān lǜ běn jiǎ jīng	間氯苯甲腈
jiān lǜ běn jiǎ quán	間氯苯甲醛
jiān lǜ běn jiǎ suān	間氯苯甲酸
jiān lǜ běn jiǎ tóng	間氯苯甲酮
jiān lǜ běn yǐ tóng	間氯苯乙酮
jiān lǜ běn yǐ xī	間氯苯乙烯
jiān qiǎng jī běn àn	間羥基苯胺
jiān sān fú jiǎ běn	間三氟甲苯
jiǎn shǎn zhèng zhǎng yán	鹼閃正長岩
jiǎn shì cǎo suān gào	鹼式草酸鋯
jiǎn shì cù suān bì	鹼式醋酸鉍
jiǎn shì cù suān gè	鹼式醋酸鉻
jiǎn shì cù suān lǚ	鹼式醋酸鋁
jiǎn shì cù suān pī	鹼式醋酸鈹
jiǎn shì cù suān qiān	鹼式醋酸鉛
jiǎn shì dī dìng guǎn	鹼式滴定管
jiǎn shì jiǎ suān gǔ	鹼式甲酸鈷
jiǎn shì jiǎ suān pī	鹼式甲酸鈹
jiǎn shì liǔ suān bì	鹼式柳酸鉍
jiǎn shì liú suān gè	鹼式硫酸鉻
jiǎn shì liú suān qiān	鹼式硫酸鉛
jiǎn shì liú suān tóng	鹼式硫酸銅
jiǎn shì lǜ huà lǚ	鹼式氯化鋁
jiǎn shì lǜ huà tóng	鹼式氯化銅
jiǎn shì tàn suān bì	鹼式碳酸鉍
jiǎn shì tàn suān gè	鹼式碳酸鉻
jiǎn shì tàn suān gǔ	鹼式碳酸鈷
jiǎn shì tàn suān lǚ	鹼式碳酸鋁
jiǎn shì tàn suān měi	鹼式碳酸鎂
jiǎn shì tàn suān niè	鹼式碳酸鎳
jiǎn shì tàn suān qiān	鹼式碳酸鉛
jiǎn shì tàn suān tóng	鹼式碳酸銅
jiǎn shì tàn suān xīn	鹼式碳酸鋅
jiǎn shì tàn suān yán	鹼式碳酸鹽
jiǎn shì xiāo suān bì	鹼式硝酸鉍
jiǎn shì xiāo suān nà	鹼式硝酸鈉
jiǎn shì xiāo suān pú	鹼式硝酸鏷
jiǎn shì yǎng huà lǚ	鹼式氧化鋁
jiǎn shì yǎng huà niè	鹼式氧化鎳
jiǎn shì yǐ suān gào	鹼式乙酸鋯
jiǎn shì yǐ suān gè	鹼式乙酸鉻
jiǎn shì yǐ suān pī	鹼式乙酸鈹
jiǎn shì yǐ suān tiě	鹼式乙酸鐵
jiǎn shì yǐ suān xīn	鹼式乙酸鋅
jiǎn shì yǐ suān yán	鹼式乙酸鹽
jiān sì qīng lǜ běn	間四氫氯苯
jiān xiāo jī běn àn	間硝基苯胺
jiān xiāo jī běn fēn	間硝基苯酚
jiān xiāo jī běn jǐng	間硝基苯肼
jiān xiāo jī jiǎ běn	間硝基甲苯
jiǎn xìng ān jī suān	鹼性氨基酸
jiǎn xìng dàn bái dòng	鹼性蛋白腖
jiǎn xìng dàn bái méi	鹼性蛋白酶
jiǎn xìng fù pǐn hóng	鹼性副品紅
jiǎn xìng gān diàn chí	鹼性乾電池
jiǎn xìng huā gǎng yán	鹼性花崗岩
jiǎn xìng huà hé wù	鹼性化合物
jiǎn xìng huī cháng yán	鹼性輝長岩
jiǎn xìng huǒ chéng yán	鹼性火成岩
jiǎn xìng huǒ shān yán	鹼性火山岩
jiǎn xìng jiǎo shǎn shí	鹼性角閃石
jiǎn xìng kǔ gǎn yán	鹼性苦橄岩
jiǎn xìng lín suān méi	鹼性磷酸酶
jiǎn xìng píng lú fǎ	鹼性平爐法
jiǎn xìng tàn suān qiān	鹼性碳酸鉛
jiǎn xìng xù diàn chí	鹼性蓄電池
jiǎn xìng xuán wǔ yán	鹼性玄武岩
jiǎn xìng yà jiǎ lán	鹼性亞甲蘭
jiǎn xìng yǎng huà lǚ	鹼性氧化鋁
jiǎn xìng yǎng huà wù	鹼性氧化物
jiǎn xìng zhèng zhǎng yán	鹼性正長岩
jiān xiù běn bǐng tóng	間溴苯丙酮
jiān xiù běn jiǎ mí	間溴苯甲醚
jiān xiù běn jiǎ quán	間溴苯甲醛
jiān xiù běn jiǎ suān	間溴苯甲酸
jiān xiù běn yǐ tóng	間溴苯乙酮
jiān xiù xiāo jī běn	間溴硝基苯
jiǎn xuán zhì xiǎng yán	鹼玄質響岩
jiǎn zhèng huī cháng yán	鹼正輝長岩
jiǎn zhī suān nà yán	鹼脂酸鈉鹽
jiàng bīng piàn èr xī	降冰片二烯
jiàng bīng piàn wán jī	降冰片烷基
jiàng jiǎ má huáng jiǎn	降假麻黃鹼
jiǎo cài suān zhǐ shuān	角菜酸酯栓
jiāo gǔ ān suān nà	焦穀氨酸鈉
jiāo lián jù wéi tóng	交聯聚維酮
jiāo lián jù yǐ xī	交聯聚乙烯
jiāo lín suān jī méi	焦磷酸激酶
jiāo lín suān sì nà	焦磷酸四鈉
jiāo lín suān tiě nà	焦磷酸鐵鈉
jiāo lín suān yà gè	焦磷酸亞鉻
jiāo lín suān yà tiě	焦磷酸亞鐵
jiāo lín suān yà xī	焦磷酸亞錫
jiāo lín suān yǎng fán	焦磷酸氧釩
jiāo lín suān yǎng wū	焦磷酸氧鎢
jiāo péng é zhú tóng	焦蓬莪朮酮
jiāo pú táo suān nà	焦葡萄酸鈉
jiāo xìng péng suān nà	焦性硼酸鈉
jiāo yà lín suān yán	焦亞磷酸鹽
jiāo yà liú suān jiǎ	焦亞硫酸鉀
jiāo yà liú suān nà	焦亞硫酸鈉
jiāo yà liú suān yán	焦亞硫酸鹽
jiāo yà shēn suān gǔ	焦亞砷酸鈷
jiē chù tàn suān yán	接觸碳酸岩
jiē chù yǎng huà chí	接觸氧化池
jiè jīn suān méi jiǎng	屆金酸莓獎
jié jīng ān jī suān	結晶氨基酸
jié jīng lǜ huà lǚ	結晶氯化鋁
jié jīng lǜ huà měi	結晶氯化鎂
jié jūn líng róng yè	潔菌靈溶液
jiè zi qīng sǎn shè	介子氫散射
jīn gāng wán jiǎ chún	金剛烷甲醇
jīn gāng wán jiǎ suān	金剛烷甲酸
jīn gāng wán liú chún	金剛烷硫醇
jīn gāng wán suō suān	金剛烷羧酸
jīn gāng wán yǐ chún	金剛烷乙醇
jīn gāng wán yǐ suān	金剛烷乙酸
jīn gǔ cǎo zāi tóng	筋骨草甾酮
jīn shǔ lǜ huà wù	金屬氯化物
jīn suān píng kē lì	金酸萍顆粒
jīn suān píng táng jiāng	金酸萍糖漿
jǐn yùn tóng bì yùn	僅孕酮避孕
jīng ān hǔ pò suān	精氨琥珀酸
jīng ān suān shì yàn	精氨酸試驗
jīng ān suān tè yì	精氨酸特異
jǐng de suān chǔ lǐ	井的酸處理
jǐng gāng méi chún àn	井岡黴醇胺
jǐng gāng méi chún tóng	井岡黴醇酮
jǐng gāng méi xī àn	井岡黴烯胺
jīng là yìng zhǐ chún	鯨蠟硬酯醇
jīng ní píng gān suān	京尼平苷酸
jǐng suō suān jiǎ zhǐ	肼羧酸甲酯
jǐng tiān gēng tóng táng	景天庚酮糖
jiǔ fú diǎn dīng wán	九氟碘丁烷
jiǔ shì gù xiāng chún	酒是故鄉醇
jiǔ shí suān bì nà	酒石酸鉍鈉
jiǔ shí suān jiǎ nà	酒石酸鉀鈉
jiǔ shí suān nà ǎn	酒石酸鈉銨
jiǔ shí suān nà jiǎ	酒石酸鈉鉀
jiǔ shí suān qīng ǎn	酒石酸氫銨
jiǔ shí suān qīng jiǎ	酒石酸氫鉀
jiǔ shí suān qīng nà	酒石酸氫鈉
jiǔ shí suān qīng yán	酒石酸氫鹽
jiǔ shí suān tī jiǎ	酒石酸銻鉀
jiǔ shí suān tī nà	酒石酸銻鈉
jiǔ yǎng huà sì diǎn	九氧化四碘
jù běn yǐ xī bēi	聚苯乙烯杯
jù běn yǐ xī zhū	聚苯乙烯珠
jù bǐng xī jīng jī	聚丙烯腈基
jù bǐng xī suān nà	聚丙烯酸鈉
jù bǐng xī suān zhǐ	聚丙烯酸酯
jù bǐng xī xiān àn	聚丙烯酰胺
jù bǐng xiān xī àn	聚丙酰烯胺
jù cù suān yǐ xī	聚醋酸乙烯
jù duì èr jiǎ běn	聚對二甲苯
jù duì yà běn jī	聚對亞苯基
jù èr fú jiǎ xī	聚二氟甲烯
jù èr lǜ yǐ xī	聚二氯乙烯
jù hé gān suān méi	聚核苷酸酶
jù hé lǜ huà lǚ	聚合氯化鋁
jù huán yǎng bǐng wán	聚環氧丙烷
jù huán yǎng yǐ wán	聚環氧乙烷
jù huáng běn yǐ xī	聚磺苯乙烯
jù jī bāo gān suān	聚肌胞苷酸
jù jiǎ jī dīng xī	聚甲基丁烯
jù liú mì fēng jiāo	聚硫密封膠
jù lǜ dīng èr xī	聚氯丁二烯
jù lǜ yǐ xī bǎn	聚氯乙烯板
jù lǜ yǐ xī guǎn	聚氯乙烯管
jù mí duō yuán chún	聚醚多元醇
jù piān fú yǐ xī	聚偏氟乙烯
jù qiǎng jī dīng suān	聚羥基丁酸
jù qiǎng jī yǐ suān	聚羥基乙酸
jù shān lí chún zhǐ	聚山梨醇酯
jù sì fú yǐ xī	聚四氟乙烯
jù sì lǜ yǐ xī	聚四氯乙烯
jù sì qīng fū nán	聚四氫呋喃
jù tiān dōng àn suān	聚天冬胺酸
jù tiān dōng ān suān	聚天冬氨酸
jù tóng huà hé wù	聚酮化合物
jù tóng kàng shēng sù	聚酮抗生素
jù wán chēng èr chún	聚烷撐二醇
jù wéi tóng diǎn sàn	聚維酮碘散
jù wéi tóng diǎn shuān	聚維酮碘栓
jù xiàn gān suān huà	聚腺苷酸化
jù xiàn niào gān suān	聚腺尿苷酸
jù xiāo jī yǐ xī	聚硝基乙烯
jù yà yǐ xī fú	聚亞乙烯氟
jù yǎng èr jiǎ běn	聚氧二甲苯
jù yǎng huà jiǎ xī	聚氧化甲烯
jù yǎng huà yǐ wán	聚氧化乙烷
jù yǎng huà yǐ xī	聚氧化乙烯
jù yǎng yǐ xī jī	聚氧乙烯基
jù yǎng yǐ xī mí	聚氧乙烯醚
jù yǎng yǐ xī zhǐ	聚氧乙烯酯
jù yǐ èr chún lèi	聚乙二醇類
jù yì wù èr xī	聚異戊二烯
jù yǐ xī bǐng àn	聚乙烯丙胺
jù yǐ xī kā zuò	聚乙烯咔唑
jù yǐ xī shù zhī	聚乙烯樹脂
jù yǐ xī yà àn	聚乙烯亞胺
jǔ yuán suān bì jiǎ	枸櫞酸鉍鉀
jǔ yuán suān dǎn jiǎn	枸櫞酸膽鹼
jǔ yuán suān qīng měi	枸櫞酸氫鎂
jǔ yuán suān róng yè	枸櫞酸溶液
jǔ yuán suān tiě ǎn	枸櫞酸鐵銨
jǔ yuán suān yī nà	枸櫞酸一鈉
jūn běn sān fēn mí	均苯三酚醚
jūn běn sān jiǎ suān	均苯三甲酸
jūn běn sì jiǎ suān	均苯四甲酸
jūn èr běn liú niào	均二苯硫脲
jūn jù jù bǐng xī	均聚聚丙烯
jūn sān jiǎ jī běn	均三甲基苯
jūn sān xiāo jī běn	均三硝基苯
jūn sì lǜ yǐ wán	均四氯乙烷
kā fēi suān jiǎ zhǐ	咖啡酸甲酯
kā fēi suān yǐ zhǐ	咖啡酸乙酯
kǎ màn shū róng yè	卡慢舒溶液
kǎ qián liè suān shuān	卡前列酸栓
kǎi lǐ suān tāng yú	凱里酸湯魚
kāng ān jī piào lìng	糠氨基嘌呤
kàng dǎn jiǎn néng yào	抗膽鹼能藥
kàng dǎn jiǎn zhǐ méi	抗膽鹼酯酶
kàng de yǎng huà wù	鈧的氧化物
kàng huài xuè suān gài	抗壞血酸鈣
kàng huài xuè suān méi	抗壞血酸酶
kàng huài xuè suān nà	抗壞血酸鈉
kàng huài xuè suān yán	抗壞血酸鹽
kàng shēng tóng zuò yòng	抗生酮作用
kāng suān mò mǐ sōng	糠酸莫米松
kāng xiān tuō qīng méi	糠酰脫氫酶
kàng yǎng huà huó xìng	抗氧化活性
kàng yǎng huà wù zhì	抗氧化物質
kě kě jiǎn yǐ suān	可可鹼乙酸
kè lā wéi suān jiǎ	克拉維酸鉀
kè méi zuò róng yè	克酶唑溶液
kè méi zuò róng yè	克黴唑溶液
kōng hè àn níng jiǎn	空褐胺寧鹼
kǒu shān dūn qīng chún	口山噸氫醇
kǔ dòu zi zǒng jiǎn	苦豆子總鹼
kuài liú shēn tóng kuàng	塊硫砷銅礦
kuài liú tī qiān kuàng	塊硫銻鉛礦
kuài liú tī tóng kuàng	塊硫銻銅礦
kuí fú fèn nǎi jìng	葵氟奮乃靜
kuí lín huáng chún róng	喹啉黃醇溶
kuí níng yán suān niào	奎寧鹽酸脲
kuí nuò dān níng suān	奎諾丹寧酸
lā kè tì chún sàn	拉克替醇散
là mù zǐ yóu suān	辣木子油酸
lài ān jī chún wéi	賴氨肌醇維
lài ān suān chá jiǎn	賴氨酸茶鹼
lài ān suān duō wéi	賴氨酸多維
lài ān suān fēng rǔ	賴氨酸蜂乳
lài ān suān tè yì	賴氨酸特異
lài ān suān wáng jiāng	賴氨酸王漿
lái sū ěr róng yè	來蘇爾溶液
lán tài èr yǐ àn	藍肽二乙胺
lào àn suān jī méi	酪胺酸激酶
lào ān suān jī méi	酪氨酸激酶
lào ān suān jiǎ zhǐ	酪氨酸甲酯
lào àn suān jiào sù	酪胺酸酵素
lào ān suān niào zhèng	酪氨酸尿症
lào ān suān tè yì	酪氨酸特異
lào ān suān yǐ zhǐ	酪氨酸乙酯
lào àn yán suān yán	酪胺鹽酸鹽
lào dàn bái suān nà	酪蛋白酸鈉
lèi èr shí wán suān	類二十烷酸
lèi gù chún shòu tǐ	類固醇受體
lèi gù chún zǐ diàn	類固醇紫癜
lèi huā shēng suān lèi	類花生酸類
lèi huáng tóng wù zhì	類黃酮物質
lěi jī duō xī tīng	累積多烯烴
lěi jī èr xī tīng	累積二烯烴
lèi jiǎ jī huà méi	類甲基化酶
léi pī zhōng zǐ yuán	鐳鈹中子源
lèi yì wù èr xī	類異戊二烯
lěng què qū xiàn lì	冷卻曲線鉝
lì de tóng wèi sù	鉝的同位素
lǐ de yǎng huà wù	鋰的氧化物
lǐ gǔ yǎng huà wù	鋰鈷氧化物
lì sāi lìn suān nà	利塞膦酸鈉
lǐ yà liú xiān lǜ	鋰亞硫酰氯
lì yán xíng yóu kuàng	礫岩型鈾礦
lì yòu běn bǐng àn	利右苯丙胺
lí zǐ mó shāo jiǎn	離子膜燒鹼
lián ān zǔ ān suān	聯氨組氨酸
lián běn àn chóng pái	聯苯胺重排
lián běn biàn zuò shuān	聯苯苄唑栓
lián běn dān jiǎ quán	聯苯單甲醛
lián běn dān yǐ suān	聯苯單乙酸
lián běn èr jiǎ chún	聯苯二甲醇
lián běn èr jiǎ mí	聯苯二甲醚
lián běn èr jiǎ quán	聯苯二甲醛
lián běn èr jiǎ suān	聯苯二甲酸
lián běn èr lǜ biàn	聯苯二氯苄
lián běn jī bǐng chún	聯苯基丙醇
lián běn jī yǐ suān	聯苯基乙酸
lián běn sān fēn mí	連苯三酚醚
lián běn sān jiǎ suān	連苯三甲酸
lián běn sān zuò chún	聯苯三唑醇
lián běn xiān èr wò	聯苯酰二肟
lián běn xiān yī wò	聯苯酰一肟
lián èr cì liú suān	連二次硫酸
lián èr cì xiāo suān	連二次硝酸
lián èr liú suān bèi	連二硫酸鋇
lián èr liú suān nà	連二硫酸鈉
lián èr liú suān niè	連二硫酸鎳
lián èr yà liú suān	連二亞硫酸
lián èr yà xiāo suān	連二亞硝酸
lián hé zhì jiǎn fǎ	聯合製鹼法
lián jiān běn èr fēn	聯間苯二酚
lián lín jiǎ běn àn	聯鄰甲苯胺
lián lín jiǎ běn suān	聯鄰甲苯酸
lián nài èr běn lìn	聯萘二苯膦
lián sān běn chā jī	聯三苯叉基
lián sì běn chā jī	聯四苯叉基
lián sì liú suān nà	連四硫酸鈉
liàn xī huán yuán méi	鏈烯還原酶
liàn zhuàng guī suān yán	鏈狀硅酸鹽
liàng ān suān tè yì	亮氨酸特異
liáng dù jiǎ jī huà	量度甲基化
liǎng xìng yǎng huà wù	兩性氧化物
liǎo de tóng wèi sù	釕的同位素
lín ān běn jiǎ suān	鄰氨苯甲酸
lín ān jī běn fēn	鄰氨基苯酚
