ā wèi	阿魏
ruì hé lóng	锐颌龙
ruì liè chūn	瑞猎蝽
ruì mǎ huáng	锐蚂蝗
ruì qīn lóng	瑞钦龙
ruì yuán pí	锐缘蜱
ruǐ zhōu é	蕊舟蛾
ruò bān zhū	弱斑蛛
ruò dīng yú	弱丁鱼
ruò duò yú	箬舵鱼
ruò jí dōng	若棘鮗
ruò jí yú	弱棘鱼
ruò jiǎ nián	若甲鲶
ruò jiǎo lóng	弱角龙
ruò lì yú	若丽鱼
ruò méi diāo	若梅鲷
ruò shé qīng	若蛇鲭
ruò xī yú	弱蜥鱼
ruò xì zhū	弱隙蛛
ruò xiāng yú	若香鱼
sà fú zhū	萨弗蛛
sà nòng dié	萨弄蝶
sà shì fēi	萨氏鲱
sài chì nán	赛赤楠
sài chú dòu	赛刍豆
sài huī dié	赛灰蝶
sāi lè zhū	塞勒蛛
sāi shā cán	鳃沙蚕
sāi xiàn yú	鳃腺鱼
sài xiè zhū	赛蟹蛛
sāi zi mù	塞子木
sān bái cǎo	三白草
sān bǎo mù	三宝木
sān bǎo niǎo	三宝鸟
sān chā jué	三叉蕨
sān chì è	三翅萼
sān chǐ tún	三齿鲀
sān cì mù	三刺木
sān cì yú	三刺鱼
sān dāo yú	三刀鱼
sān dǎo zhōng	三岛螽
sān duì jié	三对节
sān è lán	三轭兰
sǎn fáng ān	伞房桉
sān gōu chóng	三钩虫
sān guān yú	三官鱼
sān guāng yú	叁光鱼
sān jǐ jiǎ	三脊甲
sǎn jiá dié	伞蛱蝶
sān jiǎo cǎo	三角草
sān jiǎo sāo	三角溞
sān jiǎo xiè	三角蟹
sān jiǎo zǎo	三角藻
sān jiǎo zhù	三角柱
sān jiǎo zhū	三角蛛
sān léng guǒ	三棱果
sān máo cǎo	三毛草
sàn mò cǎo	散沫草
sàn mò huā	散沫花
sàn náng jūn	散囊菌
sān qí wèi	三鳍鳚
sān qiáng xiè	三强蟹
sān ruǐ cǎo	三蕊草
sān ruǐ lán	三蕊兰
sān ruǐ nán	三蕊楠
sān sè fú	三色蝠
sān shù mù	三数木
sān suǒ shé	三索蛇
sǎn xù jué	伞序蕨
sān xū xuě	三须鳕
sān yáng xiǎn	三洋藓
sān yè cǎo	三叶草
sān yè chóng	三叶虫
sān zhǐ chún	三趾鹑
sāng chǐ é	桑尺蛾
sāng jì shēng	桑寄生
sāng wǔ é	桑舞蛾
sè bāo jūn	色孢菌
sè juǎn é	色卷蛾
sè qiú zǎo	色球藻
sè shí nán	涩石楠
sè zhǐ zǎo	色指藻
sēn yǔ wā	森雨蛙
sēng hǎi bào	僧海豹
shā chǐ é	沙尺蛾
shā chǐ lóng	鲨齿龙
shā dài yú	沙带鱼
shā diān yú	沙甸鱼
shā è yú	沙鳄鱼
shā gōu xiā	沙钩虾
shā hǎi kuí	沙海葵
shā hè rén	沙赫人
shā jiān yú	沙尖鱼
shā jīn guī	沙金龟
shā lè zhú	莎勒竹
shā mò yú	沙漠鱼
shā mù yú	杉木鱼
shā ōu há	沙鸥蛤
shā pán chóng	砂盘虫
shā qiū cǎo	沙丘草
shā shǔ yà	沙鼠亚
shā táng lǐ	沙塘鳢
shā tiáo jiāo	沙条鲛
shā wō niú	砂蜗牛
shā yǐn cǎo	砂引草
shā zhī lǐ	砂脂鲤
shā zhōu é	刹舟蛾
shāi dēng é	筛灯蛾
shāi mù bèi	筛目贝
shāi nián jūn	筛黏菌
shāi pán chóng	筛盘虫
shān bái yú	山白鱼
shān chá huā	山茶花
shàn chún lán	扇唇兰
shān cí gū	山慈姑
shān cù lǐ	山醋李
shān dì shé	山地蛇
shān dòu gēn	山豆根
shān fēng niǎo	山蜂鸟
shān fú yíng	山伏蝇
shān gān téng	山柑藤
shān gèn dàng	山茛菪
shān gěng cài	山梗菜
shān gōu é	山钩蛾
shān guǎi zǎo	山拐枣
shǎn guāng guì	闪光鱥
shǎn guāng xī	闪光蜥
shān hé yè	山荷叶
shān hēi dòu	山黑豆
shān hú huā	珊瑚花
shān hú jiāo	山胡椒
shān hú yú	珊瑚鱼
shān hú zhū	珊瑚珠
shǎn huán dié	闪环蝶
shān huáng jú	山黄菊
shǎn huī dié	闪灰蝶
shān jiāo yú	山椒鱼
shān jiè cài	山芥菜
shān jié gěng	山桔梗
shān jiǔ yà	山韭亚
shàn jú mù	扇菊木
shān làng dàng	山莨菪
shān luó huā	山罗花
shān luó huā	山萝花
shān má gǎn	山麻杆
shān mǎ huáng	山蚂蝗
shān mǎ huáng	山蚂蟥
shān má shù	山麻树
shān máo jǔ	山毛榉
shān méi huā	山梅花
shān mò lì	山茉莉
shān niú bàng	山牛蒡
shān nǚ yú	山女鱼
shān pú táo	山葡萄
shān qī jīng	山漆茎
shān qiān niú	山牵牛
shān qié zi	山茄子
shān qín cài	山芹菜
shān ruì biē	山瑞鳖
shǎn sè cōng	闪色蟌
shàn shān hú	扇珊瑚
shàn shàn lóng	鄯善龙
shān shē zǐ	山檨子
shān shí liú	山石榴
shàn suì máo	扇穗茅
shān tái cǎo	山苔草
shǎn tái é	闪苔蛾
shān táo cǎo	山桃草
shān téng hú	珊藤壶
shān tóng zǐ	山桐子
shàn wěi lèi	扇尾类
shàn wěi wēng	扇尾鹟
shàn wěi yīng	扇尾莺
shàn wěi yú	扇尾鱼
shān xī è	山西鳄
shān xī lóng	山西龙
shān xī ní	山溪鲵
shān xī shòu	山西兽
shān xiāng yuán	山香圆
shàn xiè yà	扇蟹亚
shān xué xiè	珊穴蟹
shān yǎn dié	山眼蝶
shān yān mài	山燕麦
shān yán suī	山芫荽
shān yáng dòu	山羊豆
shān yáng lóng	山阳龙
shān yào yú	山药鱼
shǎn yè é	闪夜蛾
shàn yè é	扇夜蛾
shàn yè kuí	扇叶葵
shān yè zǎo	杉叶藻
shān yǐn xiè	珊隐蟹
shān yòu zi	山柚子
shān yú cài	山嵛菜
shàn yǔ sāi	扇羽鳃
shān yǔ xiǎn	山羽藓
shān yuán māo	山原猫
shān yuè guì	山月桂
shàn zhǐ hǔ	扇趾虎
shān zhī ma	山芝麻
shān zhū yú	山茱萸
shàng hù zhū	上户蛛
shàng jié pí	上节蜱
shang juǎn é	裳卷蛾
shāng qí yú	伤鳍鱼
shang yè é	裳夜蛾
shāo bān míng	梢斑螟
sháo liè chūn	勺猎蝽
shào nǚ yú	少女鱼
shāo qiú yá	梢球蚜
shǎo suì zhú	少穗竹
shāo yóu yú	烧鱿鱼
shé biān zhù	蛇鞭柱
shé chì lián	折翅蠊
shé chǐ lóng	蛇齿龙
shé chún lán	舌唇兰
shé chún yú	舌唇鱼
shè dài shǔ	麝袋鼠
shé è lóng	蛇鳄龙
shé fā yù	蛇发芋
shè fèng dié	麝凤蝶
shé gēn cǎo	蛇根草
shé hǔ yú	舌虎鱼
shé huì lán	舌喙兰
shé jǐng guī	蛇颈龟
shé lín xī	蛇鳞蜥
shé lòu zhū	舌漏蛛
shé mián wèi	蛇绵鳚
shé pú táo	蛇葡萄
shé ruǐ huā	舌蕊花
shé shé lán	蛇舌兰
shé shí é	舌石蛾
shé shì xiè	佘氏蟹
shè shuǐ chūn	涉水蝽
shè shuǐ yú	射水鱼
shé táng lǐ	蛇塘鳢
shé tóu jūn	蛇头菌
shé tóu lán	蛇头兰
shé tou yú	舌头鱼
shé tóu yú	蛇头鱼
shé wěi cǎo	蛇尾草
shé wèi yà	蛇鳚亚
shé xī yà	蛇蜥亚
shé xíng bèi	舌形贝
shé xiōng shàn	蛇胸鳝
shé yā cōng	蛇鸦葱
shé yè xiǎn	舌叶藓
shé zhēn yú	舌珍鱼
shé zhù cǎo	舌柱草
shé zhù má	舌柱麻
shé zhuàng chóng	舌状虫
shè zú shòu	麝足兽
shēn chuí lóng	深椎龙
shèn dǎo yī	肾岛衣
shēn hǎi hān	深海蚶
shēn hǎi wèi	深海鳚
shēn hǎi yáo	深海鳐
shēn hǎi yóu	深海鱿
shēn hǎi yú	深海鱼
shēn kǒu yú	伸口鱼
shén mì guǒ	神秘果
shèn pán yī	肾盘衣
shèn pán zǎo	肾爿藻
shén ruǐ mǎn	神蕊螨
shén shèng lóng	神圣龙
shěn shì xiè	沈氏蟹
shēn shuǐ shī	深水虱
shén xiān yú	神仙鱼
shén xiāng cǎo	神香草
shén xiāo dié	神绡蝶
shèn yào lán	肾药兰
shén zhōu lóng	神州龙
shén zhōu niǎo	神州鸟
shèn zǐ téng	肾子藤
shèng hóng jì	胜红蓟
shèng jiá dié	盛蛱蝶
shéng jú shí	绳菊石
shēng tài yú	生态鱼
shí bān mù	石斑木
shí bān yú	石斑鱼
shǐ bào lóng	始暴龙
shǐ bǎo luó	始宝螺
shí bǐ mù	石笔木
shī bí yú	狮鼻鱼
shì bīng yú	螫冰鱼
shí chóng yīng	食虫莺
shi chún lán	匙唇兰
shí cōng róng	石苁蓉
shí dàn luó	石蜑螺
shí dì qián	石地钱
shí dīng xiāng	石丁香
shí dīng yú	石丁鱼
shí dòu lán	石豆兰
shí è huā	十萼花
shí èr juǎn	十二卷
shì fèn mǎn	嗜粪螨
shí fèng xiǎn	石缝藓
shí gài jué	石盖蕨
shi gēng téng	匙羹藤
shí gōu nián	石钩鲶
shǐ guǒ fú	豕果蝠
shì guǒ luǒ	饰蜾蠃
shí guǒ yī	石果衣
shí hǎi mián	石海绵
shǐ hǎi niú	始海牛
shǐ hǎi shī	始海狮
shǐ hǎi tún	始海豚
shì hé lóng	噬颌龙
shǐ hé yú	始盒鱼
shí hú dié	石蝴蝶
shí hú suī	石胡荽
shí huā cài	石花菜
shí huā fú	食花蝠
shí huáng yī	石黄衣
shǐ huì guī	始喙龟
shí huī xiǎn	石灰藓
shī hún yú	失魂鱼
shí jī fēng	实姬蜂
shí jì níng	石荠苧
shí jì zhù	石荠苎
shì jiá dié	饰蛱蝶
shǐ jìng hóu	始镜猴
shì jú shí	饰菊石
shi kǒng jūn	匙孔菌
shǐ lì yú	始丽鱼
shí lián huā	石莲花
shí liè kuí	十裂葵
shǐ liè lóng	始猎龙
shí lóng wěi	石龙尾
shǐ lóng yú	始龙鱼
shǐ lú cí	始鸬鹚
shí luǎn shé	食卵蛇
shí luó shé	食螺蛇
shí máo xiǎn	石毛藓
shí míng hé	石茗荷
shī mù yú	虱目鱼
shǐ nǐ tíng	始拟䗴
shì niǎo lóng	嗜鸟龙
shí pá zhào	石爬𬶐
shí páo jūn	石袍菌
shì pí mǎn	嗜皮螨
shī pí sǎn	湿皮伞
shí pí zǎo	石皮藻
shǐ qiāng yóu	始枪鱿
shí qiú zǎo	实球藻
shì rén shā	噬人鲨
shí shān táo	石山桃
shí shàn xiè	石扇蟹
shí shǒu wēng	石首䱵
shí shǒu yú	石首鱼
shí tàn shòu	石炭兽
shī tóu chóng	狮头虫
shí tou huā	石头花
shí tou yú	石头鱼
shī tóu yú	狮头鱼
shí wàn cuò	十万错
shǐ wáng shòu	始王兽
shí wén niǎo	食蚊鸟
shí wén yú	食蚊鱼
shí wō guī	食蜗龟
shí wō shé	食蜗蛇
shǐ wū zéi	始乌贼
shí xī xiè	石溪蟹
shí xiān táo	石仙桃
shí xiāo dié	蚀绡蝶
shí xiè hú	食蟹狐
shí xiè měng	食蟹獴
shí xiè nián	食蟹鲶
shí xiè nú	石蟹奴
shǐ xīng lóng	始兴龙
shí xīng nián	石星鲶
shí yàn bèi	石燕贝
shì yán jūn	嗜盐菌
shǐ yàn yú	始燕鱼
shí yè é	实夜蛾
shǐ yè jué	始叶蕨
shǐ yè mǎn	始叶螨
shí yè zǎo	石叶藻
shí yǐ lí	食蚁狸
shí yǐ shòu	食蚁兽
shí yú shǔ	食鱼鼠
shì yuán huā	饰缘花
shí zǎo yú	食藻鱼
shí zhāng yú	石章鱼
shí zhī lǐ	石脂鲤
shi zhǐ xiā	匙指虾
shí zhōng huā	时钟花
shí zhōng huā	石钟花
shí zhú cān	石竹参
shí zì shāo	十字蛸
shī zi yú	狮子鱼
shǐ zǔ niǎo	始祖鸟
shǐ zǔ quǎn	始祖犬
shǐ zǔ shòu	始祖兽
shǐ zǔ xiàng	始祖象
shǒu dū lóng	首都龙
shòu fěn yíng	瘦粉蝇
shòu fù yíng	瘦腹蝇
shǒu gōng mù	守宫木
shǒu guān téng	首冠藤
shòu hé shòu	兽颌兽
shòu jī fēng	瘦姬蜂
shòu jiǎo yà	兽脚亚
shòu xīng yú	寿星鱼
shǒu yè é	首夜蛾
shǒu zhǎng shēn	手掌参
shòu zú yíng	瘦足蝇
shǔ bēn lóng	曙奔龙
shù bì hǔ	树壁虎
shū chǐ shǔ	梳齿鼠
shù chūn xiàng	树椿象
shù dài diāo	树袋貂
shū dài jué	书带蕨
shù dài shé	束带蛇
shǔ dài shǔ	鼠袋鼠
shù dài xióng	树袋熊
shù fěn shī	树粉虱
shù gōu é	树钩蛾
shū gōu nián	梳钩鲶
shū hǎi mián	疏海绵
shǔ hǎi tún	鼠海豚
shǔ hú hóu	鼠狐猴
shù jí wā	树棘蛙
shū jì yíng	梳寄蝇
shù jí yíng	树棘蝇
shū jiǎ nián	梳甲鲶
shù jiǎo tái	树角苔
shù kǒu téng	竖口䲢
shǔ lián chóng	曙镰虫
shù lú huì	树芦荟
shù mài zǎo	束脉藻
shù máo zǎo	束毛藻
shù píng xiǎn	树平藓
shù què wú	树雀鹀
shū sāi mán	舒鳃鳗
shù shēng xiǎn	树生藓
shù sī jūn	束丝菌
shù sī ké	束丝壳
shù tiào zhū	树跳蛛
shǔ wěi cǎo	鼠尾草
shù wěi cǎo	束尾草
shǔ wěi fú	鼠尾蝠
shǔ wěi zhǎng	鼠尾掌
shù xī lóng	树息龙
shù xíng xiǎn	树形藓
shù xū nián	树须鲶
shù xū yú	树须鱼
shù yāo chūn	束腰蝽
shù yāo xiè	束腰蟹
shù yè yà	树叶亚
shù yǐ líng	树蚁蛉
shǔ yóu nián	鼠油鲶
shù zhuàng jú	树状菊
shuài jiá dié	帅蛱蝶
shuài juàn dié	帅绢蝶
shuān chì qín	栓翅芹
shuān guǒ qín	栓果芹
shuān hǎi quán	栓海蜷
shuān kǒng jūn	栓孔菌
shuāng bāo tái	双孢炱
shuāng bǐ shí	双笔石
shuāng biān yú	双边鱼
shuāng bǐng lán	双柄兰
shuāng chā zǎo	双叉藻
shuāng chán yú	双蟾鱼
shuāng chǐ shòu	双齿兽
shuāng chún lán	双唇兰
shuāng dǐng táng	双顶螳
shuāng dùn mù	双盾木
shuāng è mù	双萼木
shuāng fēng jiè	双峰介
shuāng fū cǎo	双稃草
shuāng gé mǎn	双革螨
shuāng gōu yè	双钩叶
shuāng guān lóng	双冠龙
shuāng guān xī	双冠蜥
shuāng guǎn zǎo	双管藻
shuāng guǒ jì	双果荠
shuāng huā cǎo	双花草
shuāng huā mù	双花木
shuāng jǐ jì	双脊荠
shuāng jí xiā	双棘虾
shuāng jiǎo cǎo	双角草
shuāng jiǎo lán	双角兰
shuāng jiāo yú	双椒鱼
shuāng jù shā	双锯鲨
shuāng jù yǒng	双锯鲬
shuāng jù yú	双锯鱼
shuāng juǎn é	双卷蛾
shuāng kǒng yú	双孔鱼
shuāng kǒu luó	双口螺
shuāng lèi luó	双肋螺
shuāng lǐ yú	双鲤鱼
shuāng niè chóng	双啮虫
shuāng qí chāng	双鳍鲳
shuāng qí luó	双脐螺
shuāng qiāng bèi	双腔贝
shuāng ruǐ huā	双蕊花
shuāng ruǐ lán	双蕊兰
shuāng shàn jué	双扇蕨
shuāng wàn chóng	双腕虫
shuāng wén há	双纹蛤
shuāng xiàn bà	双线鲅
shuāng xiàn wèi	双线鳚
shuāng xīng zǎo	双星藻
shuāng xū qiū	双须鳅
shuāng xū zǎo	双须藻
shuāng yào máng	双药芒
shuāng yào shù	双药树
shuāng yè lán	双叶兰
shuāng yì méi	霜疫霉
shuāng zhōu zhū	双舟蛛
shuāng zǐ zōng	双籽棕
shuāng zú xī	双足蜥
shuǐ bā jiǎo	水八角
shuǐ bǎi zhī	水柏枝
shuǐ bāo zǎo	水胞藻
shuǐ bǐ zǎi	水笔仔
shuǐ chē qián	水车前
shuǐ chǐ é	水尺蛾
shuǐ dī yú	水滴鱼
shuǐ dǐ yú	水底鱼
shuǐ dīng xiāng	水丁香
shuǐ dōng gē	水东哥
shuǐ guī chóng	水龟虫
shuǐ guǐ jiāo	水鬼蕉
shuǐ hé huān	水合欢
shuǐ hǔ yú	水虎鱼
shuǐ huáng pí	水黄皮
shuǐ huī xiǎn	水灰藓
shuǐ jǐn shù	水锦树
shuǐ jīn yīng	水金英
shuǐ jīng yú	水晶鱼
shuǐ kù yú	水库鱼
shuǐ là é	水蜡蛾
shuǐ láng zhū	水狼蛛
shuǐ liè lóng	水猎龙
shuǐ lóng gǔ	水龙骨
shuǐ lóng shī	水龙虱
shuǐ mǎ chǐ	水马齿
shuǐ máo gèn	水毛茛
shuǐ niú zhǎng	水牛掌
shuǐ pào jiè	水泡介
shuǐ qiú zǎo	水球藻
shuǐ shé má	水蛇麻
shuǐ shù wā	水树蛙
shuǐ shuāng yú	水双鱼
shuǐ suō cǎo	水莎草
shuǐ suō yī	水蓑衣
shuǐ táng láng	水螳螂
shuǐ tiào chóng	水跳虫
shuǐ xī lù	水鼷鹿
shuǐ yù bēi	水玉杯
shuǐ yuè yú	水跃鱼
shuǐ yùn cǎo	水蕴草
shuǐ zhè cǎo	水蔗草
shuǐ zhēn yú	水珍鱼
shuǐ zhēn yú	水针鱼
shuǐ zhú cǎo	水竹草
shuǐ zhú yù	水竹芋
shùn fēng yú	顺风鱼
shǔn mì niǎo	吮蜜鸟
shuò fěi lián	硕蜚蠊
shuò liàn zǎo	蒴链藻
shuò liè gǒu	硕鬣狗
sī bàn qín	丝瓣芹
sì bāo lán	四苞蓝
sì biān zǎo	四鞭藻
sì chǐ jiè	四齿芥
sì chuān lóng	四川龙
sī dài xiǎn	丝带藓
sī dīng yú	丝丁鱼
sì é lóng	似鹅龙
sì è lóng	似鳄龙
sī fān yú	丝帆鱼
sì fēi lǐ	似绯鲤
sī fěn zǎo	丝粉藻
sì gǔ zhào	似骨𬶐
sī guā xiǎn	丝瓜藓
sī guān niǎo	丝冠鸟
sì guǒ mù	四果木
sì hé chūn	四合椿
sì hé mù	四合木
sì huán zǎo	四环藻
sī huī xiǎn	丝灰藓
sì jī lóng	似鸡龙
sì jì xià	四季夏
sì jiàn shí	似箭石
sī jiǎo dié	丝角蝶
sī jiǎo yà	丝角亚
sì jiǎo yú	四脚鱼
sì jié fú	四节蜉
sì jié lóng	似节龙
sī kē zhū	斯科蛛
sī lán é	丝兰蛾
sī láo zhú	思劳竹
sì léng guǒ	四棱果
sì liào yú	饲料鱼
sì lún xiāng	四轮香
sì mài má	四脉麻
sī náng zǎo	丝囊藻
sì niǎo lóng	似鸟龙
sì pò yú	四破鱼
sī pǔ lín	斯普琳
sī qí chāng	丝鳍鲳
sī qí píng	丝鳍鲆
sī qí wēng	丝鳍䱵
sī qí xǐ	丝鳍鱚
sī qí yǒng	丝鳍鲬
sī qí yú	丝鳍鱼
sī sāi chóng	丝鳃虫
sì shēn yà	似鲹亚
sī shì biē	斯氏鳖
sì shí chún	似石莼
sī shì shé	斯氏蛇
sī shì xiè	斯氏蟹
sì shù bāo	似束孢
sì shǔ fēi	似黍鲱
sì shù mù	四数木
sī suì mù	丝穗木
sì tuó lóng	似鸵龙
sì xiǎo zéi	似小鲗
sì xū bā	四须鲃
sì xū pí	四须魮
sì xuě wèi	似鳕鳚
sì yá huò	似牙䱛
sī yán luó	丝岩螺
sì yǎn yú	四眼鱼
sī yè jiè	丝叶芥
sī yè qín	丝叶芹
sì yì liù	四翼六
sì yǐ zhū	似蚁蛛
sī yīng chóng	丝缨虫
sì yǐng mǎn	四瘿螨
sì zhǐ xī	四指蜥
sì zhǐ yuán	四趾螈
sī zú jiāng	丝足鳉
sì zú shé	四足蛇
sī zú yú	丝足鱼
sōng duō qiū	松多鳅
sòng fǎng zhū	宋纺蛛
sōng guǒ jú	松果菊
sōng jī yà	松鸡亚
sōng jiāng lú	松江鲈
sōng jié zǎo	松节藻
sōng juǎn é	松卷蛾
sōng lì yú	松丽鱼
sōng lù yù	松露玉
sōng máo chóng	松毛虫
sōng māo zhū	松猫蛛
sòng nòng dié	颂弄蝶
sōng qiú yú	松球鱼
sōng qiú yú	松毬鱼
sōng tiān é	松天蛾
sōng xiāng cǎo	松香草
sōng yè fēng	松叶蜂
sōng yè jú	松叶菊
sōng yè lán	松叶兰
sōng zǐ yú	松子鱼
sǒu fēng niǎo	薮蜂鸟
sù bāo dòu	宿苞豆
sù cì é	素刺蛾
sū dān yú	苏丹鱼
sù dú é	素毒蛾
sū fěn dié	苏粉蝶
sū huī dié	酥灰蝶
sù huī dié	素灰蝶
sù jiá dié	肃蛱蝶
sù jǐn lán	素堇兰
sū méi yú	苏眉鱼
sū mén tù	苏门兔
sù mǐ cǎo	粟米草
sū wǒ dào	苏我稻
sù xī è	速蜥鳄
suān mó máng	酸模芒
suān mó shù	酸模树
suān mó yá	酸模蚜
suàn pán há	算盘蛤
suàn shé mán	蒜蛇鳗
suān tǔ xiǎn	酸土藓
suàn zhū dòu	算珠豆
suì bì yú	穗躄鱼
suì fèng wèi	䍁凤鳚
suì huā jiǔ	穗花韭
suì huā shān	穗花杉
suì jiǎ nián	穗甲鲶
suì pí yíng	䍁皮蝇
suì yè chéng	碎叶城
suì yè téng	穗叶藤
suì zǐ mù	穗籽木
sūn dié yú	孙鲽鱼
sǔn ké yú	笋壳鱼
suō biān yú	梭边鱼
suō cǎo lán	莎草兰
suō cháng chūn	梭长蝽
suǒ chǐ shòu	索齿兽
suǒ cì é	索刺蛾
suǒ gé jūn	索革菌
suō gǔ yú	缩骨鱼
suǒ guāng yú	索光鱼
suǒ hú jūn	锁瑚菌
suǒ kǒng jūn	索孔菌
suō kǒu luó	缩口螺
suǒ lǐ yuán	索里螈
suō luó shù	梭罗树
suō luó yú	梭罗鱼
suō tóu lú	梭头鲈
suǒ tuō è	索托鳄
suō wǎng zhū	缩网蛛
suō wěn lú	梭吻鲈
suō yú cǎo	梭鱼草
suō zi cǎo	梭子草
suō zi yú	梭子鱼
tǎ ěr yáng	塔尔羊
tǎ há yà	獭蛤亚
tǎ huì jīng	塔喙鲸
tǎ jì yú	獭祭鱼
tǎ jié shí	塔节石
tǎ mù yú	鳎目鱼
tǎ mǔ zhū	塔姆蛛
tǎ péng lóng	塔彭龙
tà shā yú	挞沙鱼
tǎ shā yú	鳎沙鱼
tǎ téng hú	塔藤壶
tài ān yú	太安鱼
tái bà yú	鲐鲅鱼
tái bā yú	台巴鱼
tài háng jú	太行菊
tái jiá dié	苔蛱蝶
tài lè chóng	泰勒虫
tài pān shé	太攀蛇
tái qián cǎo	台钱草
tài shì jūn	泰氏菌
tài shì tún	泰氏鲀
tài tǎn niǎo	泰坦鸟
tài tǎn rán	泰坦蚺
tài yáng yú	太阳鱼
tài yè é	泰夜蛾
tāi yòu wèi	胎鼬鳚
tāi zuò yī	胎座衣
tán huā lán	坛花兰
tàn jiǎo jūn	炭角菌
tān qī luó	滩栖螺
tán shì lóng	谭氏龙
tán shuǐ xiān	坛水仙
tán tiào yú	弹跳鱼
táng bì xiè	螳臂蟹
táng chāng pú	唐菖蒲
tāng jī fēng	汤姬蜂
táng jiǎ yú	唐甲鱼
táng jiǎo yú	塘角鱼
táng láng jiāng	螳螂姜
táng lǐ yú	塘鲤鱼
táng lǐ yú	塘鳢鱼
táng méi jūn	糖霉菌
táng mì cǎo	糖蜜草
táng shī yú	塘虱鱼
táng sōng cǎo	唐松草
táng xiǎo yú	唐小鱼
táng yǎn yíng	唐眼蝇
táo ér qī	桃儿七
táo fěn yá	桃粉蚜
táo hé lóng	洮河龙
táo jīn niáng	桃金娘
tào jù lán	套距兰
táo lè nián	陶乐鲇
tào zhǐ hǔ	套趾虎
tè nà cǎo	特纳草
tè nà è	特纳鳄
téng jiāo yú	藤椒鱼
téng lù dōu	藤露兜
téng mǔ dān	藤牡丹
téng shān liǔ	藤山柳
téng shí sōng	藤石松
téng xiè jiǎ	藤蟹甲
tī chì é	梯翅蛾
tì dāo yú	剃刀鱼
tí dēng huā	提灯花
tí dēng xiǎn	提灯藓
tī gǎn jūn	锑杆菌
tì gēn cǎo	嚏根草
tì jiá dié	悌蛱蝶
tí mǎ xiē	提玛蝎
tī mù cǎo	梯牧草
tì xiǎn dié	悌蚬蝶
tī xíng xiè	梯形蟹
tí xíng zǎo	蹄形藻
tián bà wēng	田霸鹟
tiān bǎo huā	天宝花
tiān chí lóng	天池龙
tián fù jūn	田腹菌
tiān gān yú	天竿鱼
tián huī dié	甜灰蝶
tián liè chūn	田猎蝽
tiān lún zhù	天轮柱
tiān mén dōng	天门冬
tiān nán xīng	天南星
tiān péng zi	天篷子
tiān rén jú	天人菊
tiān shǐ huā	天使花
tiān shǐ yú	天使鱼
tiān táng yú	天堂鱼
tián tóu gū	田头菇
tiān xīng jué	天星蕨
tiān xīng téng	天星藤
tián yà má	田亚麻
tián yè jú	甜叶菊
tiān yǔ lóng	天宇龙
tiān zhèn lóng	天镇龙
tiān zhú diāo	天竺鲷
tiān zhú kuí	天竺葵
tiān zhú shā	天竺鲨
tiān zhú yú	天竺鱼
tián zì cǎo	田字草
tiáo gēng huā	调羹花
tiáo jǐ jiǎ	条脊甲
tiào máng chūn	跳盲蝽
tiáo míng hé	条茗荷
tiào shuǐ yú	跳水鱼
tiáo téng hú	条藤壶
tiáo wén xiè	条纹蟹
tiáo wén zǎo	条纹藻
tiào yán wèi	跳岩鳚
tiě bèi yá	铁倍蚜
tiē bǐng yù	贴柄芋
tiē jiá dié	帖蛱蝶
tiě jiǎo jué	铁角蕨
tiě líng téng	铁灵藤
tiě pò luó	铁破锣
tiě qīng shù	铁青树
tiě xiàn shé	铁线蛇
tiě xiàn zǐ	铁线子
tiě zhuǎ wú	铁爪鹀
tíng chāng pú	庭菖蒲
tǐng xiōng guī	挺胸龟
tíng zǐ biāo	莛子藨
tōng ān lóng	通安龙
tóng bàn cǎo	同瓣草
tǒng bàn lán	筒瓣兰
tóng bān míng	同斑螟
tóng chì jiū	铜翅鸠
tóng chì yà	同翅亚
tóng chì yā	铜翅鸭
tóng huā shù	桐花树
tóng huī dié	铜灰蝶
tǒng huì xiàng	筒喙象
tǒng jù lán	筒距兰
tóng lán wēng	铜蓝鹟
tóng lì yú	瞳丽鱼
tóng péi zhú	同培竹
tóng pén yú	铜盆鱼
tōng quán cǎo	通泉草
tóng shuò xiǎn	同蒴藓
tóng sī zǎo	同丝藻
tǒng suì cǎo	筒穗草
tǒng téng hú	筒藤壶
tǒng tiān niú	筒天牛
tōng tuō mù	通脱木
tōng wēi yú	通威鱼
tǒng xiàn chóng	筒线虫
tóng xīn há	同心蛤
tǒng xiōng xiū	筒胸䗛
tǒng yǎn yú	桶眼鱼
tǒng yè lán	筒叶兰
tóng yè xiǎn	同叶藓
tóng yuán chūn	同缘蝽
tóng zhōng huā	同钟花
tóu bāo méi	头孢霉
tōu dàn lóng	偷蛋龙
tóu jí yóu	头棘鲉
tòu míng cháng	透明鲿
tóu ruǐ lán	头蕊兰
tòu xiāo dié	透绡蝶
tóu zuǐ jú	头嘴菊
tǔ bái yǐ	土白蚁
tū chì táng	突翅螳
tù chún fú	兔唇蝠
tù chún luó	兔唇螺
tū chún yī	凸唇衣
tū chún yú	突唇鱼
tù dài lí	兔袋狸
tù dài shǔ	兔袋鼠
tǔ dīng guì	土丁桂
tù ěr cǎo	兔耳草
tù ér fēng	兔儿风
tù ěr guǒ	兔耳果
tǔ gé mǎn	土革螨
tū hé diāo	突颌鲷
tú huī dié	图灰蝶
tǔ jì yú	土鲫鱼
tǔ jì zǐ	土蓟子
