ā kā piàn	阿咖片
jiàn nǎo yì qì piàn	健脑益气片
jiàn pí bǔ xuè piàn	健脾补血片
jiàn pí kāng ér piàn	健脾康儿片
jiàn pí lǐ cháng piàn	健脾理肠片
jiàn pí shēng xuè piàn	健脾生血片
jiàn pí wǔ wèi wán	健脾五味丸
jiàn pí xiāo gān wán	健脾消疳丸
jiàn pí xiāo kě sàn	健脾消渴散
jiàn pí xiāo shí sàn	健脾消食散
jiàn pí xiāo shí wán	健脾消食丸
jiàn pí yì xuè piàn	健脾益血片
jiàn pí zēng lì wán	健脾增力丸
jiàn pí zhǐ yí piàn	健脾止遗片
jiàn shēn ān tāi wán	健身安胎丸
jiàn shēn cháng chūn gāo	健身常春膏
jiàn shēn cháng chūn gāo	健身长春膏
jiàn shèn dì huáng wán	健肾地黄丸
jiàn shēn quán lù wán	健身全鹿丸
jiàn shèn shēng fà wán	健肾生发丸
jiàn shèn zhuàng yāo wán	健肾壮腰丸
jiàn wèi gù cháng sàn	健胃固肠散
jiàn wèi kǒu fú yè	健胃口服液
jiàn wèi kuān xiōng wán	健胃宽胸丸
jiàn wèi shí wèi wán	健胃十味丸
jiàn wèi xiāo shí piàn	健胃消食片
jiàn wèi yù yáng piàn	健胃愈疡片
jiàn wèi zhǐ tòng piàn	健胃止痛片
jiàn wèi zhù shí piàn	健胃助食片
jiàn xīn táng yī piàn	健心糖衣片
jiàn yán líng jiāo náng	健延龄胶囊
jiāng dǎn ké chuǎn piàn	姜胆咳喘片
jiāng huáng qīng zhī piàn	姜黄清脂片
jiàng méi líng jiāo náng	降酶灵胶囊
jiāng nán juàn bǎi piàn	江南卷柏片
jiàng qì dìng chuǎn wán	降气定喘丸
jiàng táng níng jiāo náng	绛糖宁胶囊
jiàng táng níng jiāo náng	降糖宁胶囊
jiàng táng níng kē lì	绛糖宁颗粒
jiàng táng shū jiāo náng	降糖舒胶囊
jiàng táng yí jiāo náng	降糖胰胶囊
jiàng yā bì fēng piàn	降压避风片
jiàng zhī jiǎn féi piàn	降脂减肥片
jiàng zhī líng jiāo náng	降脂灵胶囊
jiàng zhī líng kē lì	降脂灵颗粒
jiàng zhī níng jiāo náng	降脂宁胶囊
jiàng zhī níng kē lì	降脂宁颗粒
jiāo huàn yì zhì jì	交换抑制剂
jiāo shā méi sù piàn	交沙霉素片
jiǎo shā xī jiāo wán	角鲨烯胶丸
jiào sù yì zhì jì	酵素抑制剂
jiāo zhā huà zhì wán	焦楂化滞丸
jiě biǎo qīng fèi wán	解表清肺丸
jiě biǎo qīng jīn sàn	解表清金散
jiě biǎo zhuī fēng wán	解表追风丸
jié cháng líng jiāo náng	结肠灵胶囊
jié cháng shū jiāo náng	结肠舒胶囊
jié cháng xiāo kē lì	结肠消颗粒
jiè děi zhì rǔ gāo	疥得治乳膏
jiě dú cuó chuāng wán	解毒痤疮丸
jiě dú jiàng zhī piàn	解毒降脂片
jiě dú lì yān wán	解毒利咽丸
jiě dú shāo shāng gāo	解毒烧伤膏
jiě dú shēng jī gāo	解毒生肌膏
jiě dú tōng lín wán	解毒通淋丸
jiě dú wàn líng wán	解毒万灵丸
jiě dú wéi kāng piàn	解毒维康片
jiě dú xiāo yán gāo	解毒消炎膏
jié ér měi xǐ yè	洁而美洗液
jié ěr shū xǐ jì	洁尔舒洗剂
jié fū jìng xǐ jì	洁肤净洗剂
jiē gǎn kē lì jī	秸秆颗粒机
jié gěng dōng huā piàn	桔梗冬花片
jié gěng liú jìn gāo	桔梗流浸膏
jié gòu kòng zhì jì	结构控制剂
jiē gǔ líng tiē gāo	接骨灵贴膏
jiē gǔ qī lí piàn	接骨七厘片
jiē gǔ qī lí sàn	接骨七厘散
jiē gǔ táng yī piàn	接骨糖衣片
jiē gǔ wán shuǐ wán	接骨丸水丸
jiē gǔ xù jīn piàn	接骨续筋片
jié hé kāng xīn piàn	结核康欣片
jiě jī níng sòu piàn	解肌宁嗽片
jiě jī níng sòu wán	解肌宁嗽丸
jiě jī qīng fèi wán	解肌清肺丸
jié kāng shū xǐ jì	洁康舒洗剂
jié máo dǎ dǐ gāo	睫毛打底膏
jié nüè qī bǎo wán	截疟七宝丸
jié shí kāng jiāo náng	结石康胶囊
jié shí qīng jiāo náng	结石清胶囊
jié yá pāo guāng gāo	洁牙抛光膏
jié yīn líng xǐ jì	洁阴灵洗剂
jié yīn shū xǐ yè	洁阴舒洗液
jiě yù hé gān wán	解郁和肝丸
jiě yù wán shuǐ wán	解郁丸水丸
jié zhāi huà tán wán	节斋化痰丸
jìn dú xuān chuán piàn	禁毒宣传片
jīn fó zhǐ tòng wán	金佛止痛丸
jīn fù gù jīng wán	金负固精丸
jīn gǎn kāng jiāo náng	金感康胶囊
jīn gǎn mǐn jiāo náng	金感敏胶囊
jīn gāng jiàn gǔ piàn	金刚健骨片
jīn gāng téng jiāo náng	金刚藤胶囊
jīn gāng téng kē lì	金刚藤颗粒
jīn gāng téng táng jiāng	金刚藤糖浆
jīn gāng wán àn piàn	金刚烷胺片
jīn gǔ diē dǎ wán	筋骨跌打丸
jīn gǔ lián jiāo náng	金骨莲胶囊
jīn gǔ níng chá jì	筋骨宁搽剂
jīn gǔ tòng xiāo wán	筋骨痛消丸
jīn gǔ zhǐ tòng gāo	筋骨止痛膏
jīn guì shèn qì piàn	金匮肾气片
jīn guì shèn qì wán	金匮肾气丸
jīn guì xián qì wán	金匮贤气丸
jīn guǒ lǎn níng wán	金果榄凝丸
jīn huā míng mù wán	金花明目丸
jīn huā xiāo cuó wán	金花消痤丸
jīn huái guān xīn piàn	金槐冠心片
jīn huáng bào lóng wán	金黄抱龙丸
jīn jī hǔ bǔ piàn	金鸡虎补片
jīn jī hǔ bǔ wán	金鸡虎补丸
jīn jú dǎn wèi wán	金橘胆胃丸
jīn jú gǎn mào piàn	金菊感冒片
jīn jú lì yān wán	金菊利咽丸
jīn jūn líng jiāo náng	金菌灵胶囊
jīn ké xī jiāo náng	金咳息胶囊
jīn ké xī kē lì	金咳息颗粒
jīn lái shāo shāng gāo	今来烧伤膏
jīn lán qì wù jì	金蓝气雾剂
jīn lì dá kē lì	津力达颗粒
jīn lián huā jiāo náng	金莲花胶囊
jīn lián huā jiāo náng	金连花胶囊
jīn lián wèi shū piàn	金莲胃舒片
jīn líng gǎn mào piàn	金羚感冒片
jīn lóng dān kē lì	金龙丹颗粒
jīn luò níng ruǎn gāo	筋络宁软膏
jīn máo gǒu jǐ wán	金毛狗脊丸
jīn méi gǎn mào piàn	金梅感冒片
jīn mǔ gǎn mào piàn	金牡感冒片
jīn nà mǐ kē lì	金纳米颗粒
jīn niú yǎn yào sàn	金牛眼药散
jīn qí jiàng táng piàn	金芪降糖片
jīn qiáo mài jiāo náng	金荞麦胶囊
jīn qīng jiě dú wán	金青解毒丸
jìn rù yì zhì jì	进入抑制剂
jīn sǎng kāi yīn wán	金嗓开音丸
jīn sǎng lì yān wán	金嗓利咽丸
jīn sǎng qīng yīn wán	金嗓清音丸
jīn sǎng sàn jié wán	金嗓散结丸
jīn sǎng zi hóu piàn	金嗓子喉片
jīn shā wǔ lín wán	金沙五淋丸
jīn shī ěr kāng piàn	金施尔康片
jìn shì fù míng wán	近视复明丸
jīn shì jī gān piàn	金世肌苷片
jīn shù diē dǎ wán	金术跌打丸
jīn shuǐ bǎo jiāo náng	金水宝胶囊
jīn shuǐ xiān jiāo náng	金水鲜胶囊
jīn suǒ gù jīng wán	金锁固精丸
jīn suō gù jīng wán	金缩固精丸
jīn wèi tài jiāo náng	金胃泰胶囊
jìn xiàng máo kǒng sàn	尽向毛孔散
jīn yè dī yǎn jì	金叶滴眼剂
jīn yī wàn yīng wán	金衣万应丸
jīn zé guān xīn piàn	金泽冠心片
jīn zhèn kǒu fú yè	金振口服液
jīn zhū zhǐ xiè piàn	金朱止泻片
jīng dài níng jiāo náng	经带宁胶囊
jīng fáng bài dú sàn	荆防败毒散
jīng fáng bài dú wán	荆防败毒丸
jīng fáng kǒu fú yè	荆防口服液
jīng fēng qī lí sàn	惊风七厘散
jīng jú gǎn mào piàn	荆菊感冒片
jīng líng kǒu fú yè	精苓口服液
jìng líng kǒu fú yè	静灵口服液
jīng qǐ cān jiāo náng	精杞参胶囊
jīng qián píng kē lì	经前平颗粒
jīng qián shū kē lì	经前舒颗粒
jǐng shì jiào yù piàn	警示教育片
jìng shí líng jiāo náng	净石灵胶囊
jīng tòng líng jiāo náng	经痛灵胶囊
jǐng tòng líng jiāo náng	颈痛灵胶囊
jìng xīn kǒu fú yè	静心口服液
jǐng yāo kāng jiāo náng	颈腰康胶囊
jīng yín kǒu fú yè	荆银口服液
jīng zhì gǒu pí gāo	精制狗皮膏
jīng zhì guān xīn piàn	精制冠心片
jīng zhì hóu zǎo sàn	精制猴枣散
jīng zǐ fēn lí yè	精子分离液
jīng zǐ zhì dòng yè	精子制动液
jiǔ diào xǐ gān sàn	酒调洗肝散
jiù ěr xīn jiāo náng	救尔心胶囊
jiǔ huā sù chá jì	酒花素搽剂
jiù jí xī xián sàn	救急稀涎散
jiǔ jiāo wán jiāo náng	九胶丸胶囊
jiǔ jìn niú xī wán	酒浸牛膝丸
jiǔ lóng huà fēng wán	九龙化风丸
jiǔ qì niān tòng wán	九气拈痛丸
jiǔ qì xīn tòng wán	九气心痛丸
jiǔ wèi niú huáng wán	九味牛黄丸
jiǔ wèi qiāng huó piàn	九味羌活片
jiǔ wèi qiāng huó wán	九味羌活丸
jiǔ wèi qīng péng sàn	九味青鹏散
jiǔ wèi shí liú wán	九味石榴丸
jiǔ wèi zhā xùn wán	九味渣驯丸
jiǔ wèi zhú huáng sàn	九味竺黄散
jiù xīn níng jiāo náng	救心宁胶囊
jiǔ yǐn fú wǔ wán	酒饮服五丸
jiǔ yǒu kǒu fú yè	九友口服液
jiǔ zhēng huáng lián wán	酒蒸黄连丸
jiǔ zhì dà huáng wán	九制大黄丸
jiǔ zhī qīng xīn wán	久芝清心丸
jiǔ zhì xiāng fù wán	九制香附丸
jiǔ zhǔ dāng guī wán	酒煮当归丸
jiǔ zhǔ huáng lián wán	酒煮黄连丸
jiǔ zhū nóng suō yè	九株浓缩液
jú bàn zhǐ shù wán	橘半枳术丸
jú bèi kǒu fú yè	桔贝口服液
jú fāng zhì bǎo sàn	局方至宝散
jú fāng zhì bǎo wán	局方至宝丸
jù hé yì zhì jì	聚合抑制剂
jú hóng huà tán piàn	桔红化痰片
jú hóng huà tán piàn	橘红化痰片
jú hóng huà tán wán	橘红化痰丸
jú hóng pí pá piàn	橘红枇杷片
jú hóng shàn qì wán	橘红疝气丸
jú hóng tán ké yè	橘红痰咳液
jú hóng tán ké yè	桔红痰咳液
jú huā chá tiáo sàn	菊花茶调散
jú míng jiàng yā piàn	菊明降压片
jú míng jiàng yā wán	菊明降压丸
jǔ yuán suān xīn piàn	枸橼酸锌片
jú yuǎn zhǐ ké piàn	桔远止咳片
juān bì kàng shēng wán	蠲痹抗生丸
jué míng jiàng zhī piàn	决明降脂片
jūn liè hù fū gāo	皲裂护肤膏
jūn zǐ lán yù yè	君子兰玉液
kǎ bā kè luò piàn	卡巴克络片
kǎ bǐ duō bā piàn	卡比多巴片
kǎ bǐ mǎ zuò piàn	卡比马唑片
kǎ bō luó mèng piàn	卡波罗孟片
kǎ dá èr shì yè	卡达二氏液
kā fēn wěi má piàn	咖酚伪麻片
kǎ luò huáng nà piàn	卡络磺钠片
kǎ mǎ xī píng piàn	卡马西平片
kǎ mǎ xī zuò piàn	卡马西唑片
kǎ nà méi sù piàn	卡那霉素片
kǎ péi tā bīn piàn	卡培他滨片
kǎ pǔ tuō lì piàn	卡普托利片
kǎ tuō pǔ lì piàn	卡托普利片
kǎ wéi dì luò piàn	卡维地洛片
kāi guāng fù míng wán	开光复明丸
kāi wèi lǐ pí wán	开胃理脾丸
kāi xiōng lǐ qì wán	开胸理气丸
kāi yù huà zhì wán	开郁化滞丸
kāi yù lǎo kòu wán	开郁老蔻丸
kāi yù shū gān wán	开郁疏肝丸
kāi yù shū gān wán	开郁舒肝丸
kāi yù shùn qì wán	开郁顺气丸
kāng ài zhù shè yè	康艾注射液
kàng bìng dú chōng jì	抗病毒冲剂
kàng bìng dú dī wán	抗病毒滴丸
kàng bìng dú hé jì	抗病毒合剂
kāng chǐ níng rǔ gāo	康齿宁乳膏
kāng ér líng kē lì	康儿灵颗粒
kāng ěr xīn jiāo náng	康尔心胶囊
kāng ěr xīn kē lì	康尔心颗粒
kāng fù líng jiāo náng	康妇灵胶囊
kāng fù líng yào gāo	康复灵药膏
kāng fù yán jiāo náng	康妇炎胶囊
kàng fù yán jiāo náng	抗妇炎胶囊
kàng gǎn jiě dú piàn	抗感解毒片
kàng gǎn kǒu fú yè	抗感口服液
kàng gǎn pào téng piàn	抗感泡腾片
kàng gōng yán jiāo náng	抗宫炎胶囊
kàng gōng yán kē lì	抗宫炎颗粒
kàng gǔ suǐ yán piàn	抗骨髓炎片
kàng gǔ zēng shēng piàn	抗骨增生片
kàng gǔ zēng shēng wán	抗骨增生丸
kàng huài xuè suān piàn	抗坏血酸片
kàng jī xiāo kě piàn	抗饥消渴片
kàng jūn lì líng piàn	抗菌痢灵片
kàng lǎo yán nián wán	抗老延年丸
kāng lè bí yán piàn	康乐鼻炎片
kāng lì xīn jiāo náng	康力欣胶囊
kàng liú shēng bái piàn	抗瘤升白片
kāng mài yì xīn piàn	康脉益心片
kàng nǎo shuāi jiāo náng	抗脑衰胶囊
kàng sāi líng táng jiāng	抗腮灵糖浆
kàng shēng sù zhì jì	抗生素制剂
kàng shuāi fù chūn piàn	抗衰复春片
kàng shuān bǎo xīn piàn	抗栓保心片
kàng shuān líng hán piàn	抗栓灵含片
kāng wèi sù jiāo náng	康胃素胶囊
kāng xīn kǒu fú yè	康欣口服液
kàng yán lán kē lì	抗炎兰颗粒
kàng yán tuì rè piàn	抗炎退热片
kǎo cí bāo mái yè	烤瓷包埋液
kǎo lái xī àn sàn	考来烯胺散
kè bì gǔ tài piàn	克痹骨泰片
kè bǐ rè tí piàn	克比热提片
ké chuǎn gǎn mào piàn	咳喘感冒片
ké chuǎn huà tán sàn	咳喘化痰散
ké chuǎn jìng táng jiāng	咳喘静糖浆
ké chuǎn kǒu fú yè	咳喘口服液
kè gǎn mǐn chōng jì	克感敏冲剂
kě kě gài táng piàn	可可钙糖片
kè lā méi sù piàn	克拉霉素片
kě lè dìng dī wán	可乐定滴丸
kě lè níng jiāo náng	渴乐宁胶囊
kě lè níng kē lì	渴乐宁颗粒
kē lì de dà xiǎo	颗粒的大小
kē lì dù jūn yún	颗粒度均匀
kě lì gān chōng jì	可利肝冲剂
kě lì gān kē lì	可利肝颗粒
kē lì róng jiě sù	颗粒溶解素
kè lì shā jiāo náng	克痢痧胶囊
kè lì shā wēi wán	克痢痧微丸
kē lì sì liào jī	颗粒饲料机
ké lì tíng táng jiāng	咳立停糖浆
kē lì xìng fēn mì	颗粒性分泌
kē lì xìng kàng yuán	颗粒性抗原
kè lín tōng jiāo náng	克淋通胶囊
ké lù kǒu fú yè	咳露口服液
kè lún tè luó piàn	克仑特罗片
kè luò jǐ xīn piàn	克洛己新片
kè méi sù ruǎn gāo	克霉素软膏
kě mǐ tì lín piàn	可米替林片
kè niàn jūn sù piàn	克念菌素片
kě róng kē lì jì	可溶颗粒剂
kè sài zhù shè yè	克赛注射液
ké shā xiāo chuǎn piàn	咳煞消喘片
kè shāng tòng chá jì	克伤痛搽剂
ké sòu tán chuǎn wán	咳嗽痰喘丸
ké sù tíng jiāo náng	咳速停胶囊
ké sù tíng táng jiāng	咳速停糖浆
ké tè líng jiāo náng	咳特灵胶囊
ké tè líng kē lì	咳特灵颗粒
kè xiè mǐn kē lì	克泻敏颗粒
kè yǎng shū xǐ yè	克痒舒洗液
kè yín kǒu fú yè	克银口服液
kǒng shèng zhěn zhōng wán	孔圣枕中丸
kòng shì kē lì jì	控释颗粒剂
kōng xīn fú qī wán	空心服七丸
kǒu fú xǐ cháng sàn	口服洗肠散
kǒu fú yè tǐ jì	口服液体剂
kǒu jié hán shù yè	口洁含漱液
kǒu jié pēn wù jì	口洁喷雾剂
kǒu qiāng bēng jiě piàn	口腔崩解片
kǒu qiāng kuì yáng sàn	口腔溃疡散
kǒu zhōng yǒu jīn yè	口中有津液
kǔ dié zhù shè yè	苦碟注射液
kǔ huáng zhù shè yè	苦黄注射液
kǔ mù zhù shè yè	苦木注射液
kǔ shuāng huáng xǐ jì	苦双黄洗剂
kuài ān gǎn mào yè	快安感冒液
kuài jiǎn fú jiāo náng	快减服胶囊
kuài wèi shū gān wán	快胃舒肝丸
kuān rén zì shí gāo	髋人字石膏
kuān xiōng lì gé wán	宽胸利膈丸
kuān xiōng qì wù jì	宽胸气雾剂
kuān zhōng lǎo kòu wán	宽中老蔻丸
kuì dé kāng kē lì	溃得康颗粒
kuí nà pǔ lì piàn	喹那普利片
kuì píng níng kē lì	溃平宁颗粒
kuì yáng líng jiāo náng	溃疡灵胶囊
kuì yáng níng jiāo náng	溃疡宁胶囊
kuì yáng sàn jiāo náng	溃疡散胶囊
kūn fù kāng jiāo náng	坤复康胶囊
kūn liú ān jiāo náng	坤流安胶囊
kūn níng kǒu fú yè	坤宁口服液
kūn yuè ān jiāo náng	坤月安胶囊
kūn yuè ān kē lì	坤月安颗粒
lā bèi luò ěr piàn	拉贝洛尔片
lā mǐ fū dìng piàn	拉米呋定片
lā mǐ fū dìng piàn	拉米夫定片
lā mò sān qín piàn	拉莫三嗪片
lā xī dì píng piàn	拉西地平片
lā yǎng tóu bāo nà	拉氧头孢钠
lài ān pǐ lín sàn	赖氨匹林散
lài ān pú xīn piàn	赖氨葡锌片
lài ān suān xīn piàn	赖氨酸锌片
lái fú mǐ tè piàn	来氟米特片
lài nuò pǔ lì piàn	赖诺普利片
lài nuò pǔ lǐ piàn	赖诺普理片
lán huā ké níng piàn	兰花咳宁片
lán huā yào shuǐ wán	蓝花药水丸
lán líng kǒu fú yè	蓝苓口服液
lán pú jiě dú piàn	蓝蒲解毒片
lán qín kǒu fú yè	蓝芩口服液
lán sè xiǎo yào wán	蓝色小药丸
lán suǒ lā zuò piàn	兰索拉唑片
lán wěi líng kē lì	阑尾灵颗粒
lán wěi xiāo yán piàn	阑尾消炎片
lán wěi xiāo yán wán	阑尾消炎丸
làng dàng jìn gāo piàn	莨菪浸膏片
láo lā xī pàn piàn	劳拉西泮片
lǎo nián ké chuǎn piàn	老年咳喘片
lè er kāng táng jiāng	乐儿康糖浆
lè jiǎ huǎn shì piàn	乐甲缓释片
lè mǎ huí jiāo náng	勒马回胶囊
lè mài kǒu fú yè	乐脉口服液
léi fó nú ěr yè	雷佛奴尔液
léi kǎ zhù shè yè	雷卡注射液
léi mǐ pǔ lì piàn	雷米普利片
léi ní tì dīng piàn	雷尼替丁片
léng bèi tōng bí piàn	棱贝通鼻片
lì bā wéi lín piàn	利巴韦林片
lì dǎn bā wèi sàn	利胆八味散
lì dǎn pái shí piàn	利胆排石片
lì dǎn pái shí sàn	利胆排石散
lì dǎn pái shí wán	利胆排石丸
lì dǎn shí kē lì	利胆石颗粒
lì dǎn shū jiāo náng	利胆舒胶囊
lì dǎn zhǐ tòng piàn	利胆止痛片
lì ěr mián jiāo náng	利尔眠胶囊
lì fū kāng xǐ jì	利夫康洗剂
lì fù píng jiāo náng	利富平胶囊
lì fú píng jiāo náng	利福平胶囊
lì fú píng jiāo wán	利福平胶丸
lì fù píng rǔ gāo	利富平乳膏
lì fú píng rǔ gāo	利福平乳膏
lì fú xī míng piàn	利福昔明片
lì gān hé wèi wán	利肝和胃丸
lì gān lóng chōng jì	利肝隆冲剂
lì gān lóng jiāo náng	利肝窿胶囊
lì gān lóng jiāo náng	利肝隆胶囊
lì gān lóng kē lì	利肝隆颗粒
lì gān táng yī piàn	利肝糖衣片
lì nǎo xīn jiāo náng	利脑心胶囊
lì niào bā wèi sàn	利尿八味散
lì niào xiāo yán wán	利尿消炎丸
lǐ qì dìng chuǎn wán	理气定喘丸
lǐ qì shū xīn piàn	理气舒心片
lì sāi lìn suān piàn	利塞膦酸片
lì shī kǒu fú yè	利湿口服液
lì shū kāng jiāo náng	利舒康胶囊
lì tài zhù shè yè	力太注射液
lì tè mǐn jiāo náng	痢特敏胶囊
lì tè mǐn kē lì	痢特敏颗粒
lì tuō nà wéi piàn	利托那韦片
lì tuǒ xī dān kàng	利妥昔单抗
lì zhì qíng sè piàn	励志情色片
lián bǎi shāo shāng gāo	连柏烧伤膏
lián běn shuāng zhǐ piàn	联苯双酯片
lián dǎn xiāo yán piàn	莲胆消炎片
lián fā kē xīn piàn	联发科芯片
lián pú shuāng qīng piàn	连蒲双清片
lián qiáo bài dú piàn	连翘败毒片
lián qiáo bài dú wán	连翘败毒丸
liàn qiú jūn zhì jì	链球菌制剂
lián zhī xiāo yán piàn	莲芝消炎片
liáng gé lián qiáo sàn	凉膈连翘散
liàng jūn jiǎ sù piàn	亮菌甲素片
liàng jūn kǒu fú yè	亮菌口服液
liàng lì de míng piàn	靓丽的名片
liàng lì de míng piàn	亮丽的名片
liǎng miàn zhēn tòng piàn	两面针痛片
liǎng miàn zhù shè yè	两面注射液
liàng xuě kǒu fú yè	亮雪口服液
liáng xuè shí wèi sàn	凉血十味散
liáo yuán qī lí sàn	辽源七厘散
lín bǐng bái é gāo	鳞柄白鹅膏
lín kě méi sù piàn	林可霉素片
lín suān lǜ kuí piàn	磷酸氯喹片
lín suān pài kuí piàn	磷酸哌喹片
lín suān pài qín piàn	磷酸哌嗪片
lín suān qīng gài piàn	磷酸氢钙片
líng bǎo rú yì wán	灵宝如意丸
líng dān cǎo jiāo náng	灵丹草胶囊
líng dān cǎo kē lì	灵丹草颗粒
líng huáng bǎo er wán	羚黄宝儿丸
líng mǐn sè huī piàn	灵敏色辉片
líng qí hóng jiāo náng	灵芪红胶囊
líng qiào jiě dú piàn	羚翘解毒片
líng qiào jiě dú wán	羚翘解毒丸
líng xiān diē dǎ piàn	灵仙跌打片
líng yáng gǎn mào piàn	羚羊感冒片
líng yáng jiǎo dī wán	羚羊角滴丸
líng yáng qīng fèi piàn	羚羊清肺片
líng yáng qīng fèi sàn	羚羊清肺散
líng yáng qīng fèi wán	羚羊清肺丸
líng yì kǒng bù piàn	灵异恐怖片
líng zhī běi qí piàn	灵芝北芪片
líng zhī jìn gāo piàn	灵芝浸膏片
liǔ àn fēn jiāo náng	柳胺酚胶囊
liú dòng de xuè yè	流动的血液
liù hé dìng zhōng wán	六和定中丸
liù hé dìng zhōng wán	六合定中丸
liú huà yán chí jì	硫化延迟剂
liù jiǎ mì àn piàn	六甲蜜胺片
liù jīng tóu tòng piàn	六经头痛片
liú lì dā qín piàn	硫利哒嗪片
liù líng jiě dú wán	六灵解毒丸
liù liù xiāo yán wán	六六消炎丸
liù lǜ běn rǔ jì	六氯苯乳剂
liú niǎo piào lìng piàn	硫鸟嘌呤片
liú pǔ luó níng piàn	硫普罗宁片
liú suān kuí níng piàn	硫酸奎宁片
liú suān yà tiě piàn	硫酸亚铁片
liú tǎng de xuè yè	流淌的血液
liù wèi ān xiāo sàn	六味安消散
liù wèi dì huáng gāo	六味地黄膏
liù wèi dì huáng piàn	六味地黄片
liù wèi dì huáng wán	六味地黄丸
liù wèi dīng xiāng wán	六味丁香丸
liù wèi gān cǎo wán	六味甘草丸
liù wèi míng mù wán	六味明目丸
liù wèi mù xiāng sàn	六味木香散
liù wèi mù xiāng wán	六味木香丸
liù wèi néng xiāo wán	六味能消丸
liù wèi shēng mài piàn	六味生脉片
liù wèi shí liú sàn	六味石榴散
liù wèi tóu tòng piàn	六味头痛片
liù wèi xiāo zhì piàn	六味消痔片
liú zuò piào lìng piàn	硫唑嘌呤片
lóng bì shū jiāo náng	癃闭舒胶囊
lóng bì tōng jiāo náng	癃闭通胶囊
lóng cān bǔ yì gāo	龙参补益膏
lóng dǎn sū dá piàn	龙胆苏打片
lóng dǎn xiè gān piàn	龙胆泻肝片
lóng fèng bǎo jiāo náng	龙凤宝胶囊
lóng nǎo jī sū wán	龙脑鸡苏丸
lóng qī wèi kāng piàn	龙七胃康片
lóng shēng zhì jiāo náng	龙生蛭胶囊
lóng shū qīng kē lì	癃疏清颗粒
lóng xīn sù jiāo náng	龙心素胶囊
lóng zhǎng kǒu hán yè	龙掌口含液
lóng zhū píng kàng wán	龙珠平亢丸
lù cān zhèng yuán gāo	鹿参正元膏
lù dān qí jiāo náng	鹿丹芪胶囊
lú fú shā xīng piàn	芦氟沙星片
lú gān shí xǐ jì	炉甘石洗剂
lù róng yáng shēn piàn	鹿茸洋参片
lú shā tǎn jiǎ piàn	芦沙坦钾片
lù shì rùn zì wán	陆氏润字丸
lù shuǐ cǎo jiāo náng	露水草胶囊
lú tòng níng kē lì	颅痛宁颗粒
lù wěi bǔ shèn wán	鹿尾补肾丸
lù xiān bǔ shèn piàn	鹿仙补肾片
lù zhū kǒu fú yè	鹿珠口服液
luǎn pào chōng xǐ yè	卵泡冲洗液
luó bù má jìn gāo	罗布麻浸膏
luò bù sāng jiāo náng	洛布桑胶囊
luò fá tā tīng piàn	洛伐他汀片
luó fēi xī bù piàn	罗非昔布片
luò fēi xī dìng piàn	洛非西定片
luò fēn dài yīn piàn	洛芬待因片
luò fēn wěi má piàn	洛芬伪麻片
luó gài quán jiāo wán	罗盖全胶丸
luó gé liè tóng piàn	罗格列酮片
luó hóng méi sù piàn	罗红霉素片
luǒ huā zǐ zhū piàn	裸花紫珠片
luó huáng jiàng yā piàn	罗黄降压片
luó jǐ jiàng yā piàn	罗己降压片
luò měi shā xīng piàn	洛美沙星片
luò pài dīng àn piàn	洛哌丁胺片
luó téng ān shén piàn	萝藤安神片
luò tuó péng jiǎn piàn	骆驼蓬碱片
luó xuán méi sù piàn	螺旋霉素片
luò yū tōng jiāo náng	络瘀通胶囊
lǜ bèi suān lǚ piàn	氯贝酸铝片
lǜ běn nà mǐn piàn	氯苯那敏片
lǜ bǐ gé léi piàn	氯吡格雷片
lǜ bǐng mī qín piàn	氯丙咪嗪片
lǜ bǐng nà lín piàn	氯丙那林片
lǜ bō bì lì piàn	氯波必利片
lǘ bǔ xuè jiāo náng	驴补血胶囊
lǜ è diǎn shé wán	绿萼点舌丸
lǜ fēn dài yīn piàn	氯芬待因片
lǜ fēn huáng mǐn piàn	氯芬黄敏片
lǜ fēn nà suān piàn	氯芬那酸片
lǜ huà ǎn hé jì	氯化铵合剂
lǜ huà gài shì jì	氯化钙试剂
lǜ huán lì qín piàn	氯环利嗪片
lǜ huáng bǐng niào piàn	氯磺丙脲片
lǜ kā huáng mǐn piàn	氯咖黄敏片
lǜ léi tā dìng piàn	氯雷他定片
lǚ měi diān qié piàn	铝镁颠茄片
lǚ měi hùn xuán yè	铝镁混悬液
lǚ měi jǔ jué piàn	铝镁咀嚼片
lǚ měi pǐ lín piàn	铝镁匹林片
lǜ méi sù chá jì	氯霉素搽剂
lǜ měi zhā tóng piàn	氯美扎酮片
lǜ mī pà míng piàn	氯咪帕明片
lǜ mǐ pà míng piàn	氯米帕明片
lǚ nà diān qié piàn	铝钠颠茄片
lǜ nuò xī kāng piàn	氯诺昔康片
lǜ pǔ sāi dūn piàn	氯普噻吨片
lǜ shā tǎn jiǎ piàn	氯沙坦钾片
lǚ tàn suān měi piàn	铝碳酸镁片
lǜ xiāo ān dìng piàn	氯硝安定片
lǜ xiāo liǔ àn piàn	氯硝柳胺片
lǜ xiāo xī pàn piàn	氯硝西泮片
lǜ yǎng kuí jiāo náng	氯氧喹胶囊
lǜ zuò shā zōng piàn	氯唑沙宗片
má guì gǎn mào wán	麻桂感冒丸
má huáng zhǐ sòu wán	麻黄止嗽丸
mǎ luò tì zhǐ piàn	马洛替酯片
